"統計名：","人口推計 国勢調査結果による補間補正人口 国勢調査結果による補間補正人口（1995年～2015年）"
"表番号：","004"
"表題：","都道府県別人口増減率－総人口"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","該当数値がないもの"
"-","該当数値がないもの　"

"","","","","","","/時間軸（年間） コード","1995001011","1996001011","1997001011","1998001011","1999001011","2000001011","2001001011","2002001010","2003001010","2004001010","2005001010","2006001010","2007001010","2008001010","2009001010","2010001010","2011001010","2012001010","2013001010","2014001010"
"","","","","","","/時間軸（年間） 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","全国・都道府県 コード","全国・都道府県 補助コード","全国・都道府県","/時間軸（年間）","1995年10月～1996年9月","1996年10月～1997年9月","1997年10月～1998年9月","1998年10月～1999年9月","1999年10月～2000年9月","2000年10月～2001年9月","2001年10月～2002年9月","2002年10月～2003年9月","2003年10月～2004年9月","2004年10月～2005年9月","2005年10月～2006年9月","2006年10月～2007年9月","2007年10月～2008年9月","2008年10月～2009年9月","2009年10月～2010年9月","2010年10月～2011年9月","2011年10月～2012年9月","2012年10月～2013年9月","2013年10月～2014年9月","2014年10月～2015年9月"
"004","","人口増減率【千人比，‰】","17000","","石川県","","0.8","0.1","0.2","-0.9","0.6","0.8","-1.5","-0.5","-1.5","-3.1","-0.9","-0.2","-0.6","-1.4","-0.6","-2.7","-2.7","-2.7","-3.0","-2.5"
"004","","人口増減率【千人比，‰】","18000","","福井県","","1.5","-0.3","0.2","-0.6","1.6","0.8","-2.2","-1.3","-2.9","-3.3","-2.4","-3.3","-3.8","-5.1","-4.1","-3.9","-4.6","-4.9","-6.0","-5.2"
"004","","人口増減率【千人比，‰】","19000","","山梨県","","2.9","2.0","2.0","-0.9","1.0","2.2","-0.8","-1.8","-1.7","-2.1","-4.8","-4.0","-7.0","-4.3","-4.4","-6.5","-6.0","-6.0","-7.2","-7.4"
"004","","人口増減率【千人比，‰】","20000","","長野県","","4.2","1.8","1.4","-0.0","2.3","3.1","-3.3","-1.9","-2.1","-4.4","-3.0","-3.5","-4.2","-4.9","-4.5","-4.7","-4.7","-4.6","-5.6","-5.5"
"004","","人口増減率【千人比，‰】","21000","","岐阜県","","1.8","0.9","0.7","-0.1","0.1","1.5","-0.5","0.1","-1.0","-0.3","-1.1","-0.6","-1.8","-4.2","-5.0","-4.5","-4.4","-4.6","-4.8","-5.3"
"004","","人口増減率【千人比，‰】","22000","","静岡県","","2.1","1.7","1.7","0.7","1.8","3.3","1.1","1.5","0.3","0.4","0.7","0.3","-0.8","-2.7","-4.6","-3.6","-3.3","-2.5","-4.1","-3.9"
"004","","人口増減率【千人比，‰】","23000","","愛知県","","4.2","5.0","6.1","4.7","5.3","6.8","5.6","5.4","5.4","6.4","7.2","6.9","5.7","1.7","-0.1","1.0","1.7","2.4","2.0","2.6"
"004","","人口増減率【千人比，‰】","24000","","三重県","","2.8","2.5","1.9","0.6","0.9","2.6","0.3","0.9","1.2","0.2","2.4","0.9","-1.1","-3.7","-5.1","-4.0","-3.7","-3.8","-4.2","-5.4"
"004","","人口増減率【千人比，‰】","25000","","滋賀県","","8.7","9.2","9.7","7.2","7.8","8.2","5.0","5.5","4.7","4.2","6.8","5.8","4.9","2.8","1.6","1.7","0.7","0.7","-0.6","-1.1"
"004","","人口増減率【千人比，‰】","26000","","京都府","","1.9","1.2","2.0","0.8","-0.2","1.7","-0.3","0.7","0.2","-1.0","-0.5","-1.3","-1.0","-1.2","-0.3","-1.1","-2.0","-2.3","-2.3","-2.0"
