"時点","地域コード","地域","出生数【人】","注記"
"2004年","07000","福島県","18306",""
"2005年","07000","福島県","17538",""
"2006年","07000","福島県","17541",""
"2007年","07000","福島県","17101",""
"2008年","07000","福島県","16908",""
"2009年","07000","福島県","16326",""
"2010年","07000","福島県","16126",""
"2011年","07000","福島県","15072",""
"2012年","07000","福島県","13770",""
"2013年","07000","福島県","14546",""
"2014年","07000","福島県","14518",""
"2015年","07000","福島県","14195",""
"2016年","07000","福島県","13745",""
"2017年","07000","福島県","13219",""
"2018年","07000","福島県","12495",""
"2019年","07000","福島県","11552",""
"2020年","07000","福島県","11215",""
"2021年","07000","福島県","10649",""
"2022年","07000","福島県","9709",""
"2023年","07000","福島県","9019",""
"2024年","07000","福島県","8216",""
"2025年","07000","福島県","7842","速報"
"1995年","08000","茨城県","28234",""
"1996年","08000","茨城県","28785",""
"1997年","08000","茨城県","28331",""
"1998年","08000","茨城県","28602",""
"1999年","08000","茨城県","28261",""
"2000年","08000","茨城県","28220",""
"2001年","08000","茨城県","27864",""
"2002年","08000","茨城県","27337",""
"2003年","08000","茨城県","26523",""
"2004年","08000","茨城県","26167",""
"2005年","08000","茨城県","24244",""
"2006年","08000","茨城県","25128",""
"2007年","08000","茨城県","24829",""
"2008年","08000","茨城県","24592",""
"2009年","08000","茨城県","24209",""
"2010年","08000","茨城県","23989",""
"2011年","08000","茨城県","23219",""
"2012年","08000","茨城県","22896",""
"2013年","08000","茨城県","22358",""
"2014年","08000","茨城県","21932",""
"2015年","08000","茨城県","21700",""
"2016年","08000","茨城県","20878",""
"2017年","08000","茨城県","20431",""
"2018年","08000","茨城県","19368",""
"2019年","08000","茨城県","18004",""
"2020年","08000","茨城県","17389",""
"2021年","08000","茨城県","16502",""
"2022年","08000","茨城県","15905",""
"2023年","08000","茨城県","14898",""
"2024年","08000","茨城県","13976",""
"2025年","08000","茨城県","13408","速報"
"1995年","09000","栃木県","18662",""
"1996年","09000","栃木県","19112",""
"1997年","09000","栃木県","18642",""
"1998年","09000","栃木県","18836",""
"1999年","09000","栃木県","18485",""
"2000年","09000","栃木県","18976",""
"2001年","09000","栃木県","18911",""
"2002年","09000","栃木県","18376",""
"2003年","09000","栃木県","18122",""
"2004年","09000","栃木県","17816",""
"2005年","09000","栃木県","17363",""
"2006年","09000","栃木県","17647",""
"2007年","09000","栃木県","17233",""
"2008年","09000","栃木県","17240",""
"2009年","09000","栃木県","17004",""
"2010年","09000","栃木県","16473",""
"2011年","09000","栃木県","15913",""
"2012年","09000","栃木県","15973",""
"2013年","09000","栃木県","15588",""
"2014年","09000","栃木県","15442",""
"2015年","09000","栃木県","15306",""
"2016年","09000","栃木県","14621",""
"2017年","09000","栃木県","14029",""
"2018年","09000","栃木県","13495",""
"2019年","09000","栃木県","12608",""
"2020年","09000","栃木県","11808",""
"2021年","09000","栃木県","11475",""
"2022年","09000","栃木県","10518",""
"2023年","09000","栃木県","9958",""
"2024年","09000","栃木県","9262",""
"2025年","09000","栃木県","8932","速報"
"1995年","10000","群馬県","19431",""
"1996年","10000","群馬県","19761",""
"1997年","10000","群馬県","19481",""
"1998年","10000","群馬県","19422",""
"1999年","10000","群馬県","19111",""
"2000年","10000","群馬県","19445",""
"2001年","10000","群馬県","19024",""
"2002年","10000","群馬県","18763",""
"2003年","10000","群馬県","18337",""
"2004年","10000","群馬県","17745",""
"2005年","10000","群馬県","17134",""
"2006年","10000","群馬県","17061",""
"2007年","10000","群馬県","16817",""
"2008年","10000","群馬県","17044",""
"2009年","10000","群馬県","16310",""
"2010年","10000","群馬県","16023",""
"2011年","10000","群馬県","15637",""
"2012年","10000","群馬県","14914",""
"2013年","10000","群馬県","14732",""
"2014年","10000","群馬県","14522",""
"2015年","10000","群馬県","14256",""
"2016年","10000","群馬県","13661",""
"2017年","10000","群馬県","13280",""
"2018年","10000","群馬県","12922",""
"2019年","10000","群馬県","11901",""
"2020年","10000","群馬県","11660",""
"2021年","10000","群馬県","11236",""
"2022年","10000","群馬県","10688",""
"2023年","10000","群馬県","9950",""
"2024年","10000","群馬県","9334",""
"2025年","10000","群馬県","8950","速報"
"1995年","11000","埼玉県","67750",""
"1996年","11000","埼玉県","68695",""
"1997年","11000","埼玉県","67585",""
"1998年","11000","埼玉県","67144",""
"1999年","11000","埼玉県","65711",""
"2000年","11000","埼玉県","66376",""
"2001年","11000","埼玉県","65417",""
"2002年","11000","埼玉県","64762",""
"2003年","11000","埼玉県","63224",""
"2004年","11000","埼玉県","61946",""
"2005年","11000","埼玉県","59731",""
"2006年","11000","埼玉県","61201",""
"2007年","11000","埼玉県","60818",""
"2008年","11000","埼玉県","60520",""
"2009年","11000","埼玉県","59725",""
"2010年","11000","埼玉県","59437",""
"2011年","11000","埼玉県","58059",""
"2012年","11000","埼玉県","56943",""
"2013年","11000","埼玉県","57470",""
"2014年","11000","埼玉県","55765",""
"2015年","11000","埼玉県","56078",""
"2016年","11000","埼玉県","54452",""
"2017年","11000","埼玉県","53076",""
"2018年","11000","埼玉県","51241",""
"2019年","11000","埼玉県","48298",""
"2020年","11000","埼玉県","47328",""
"2021年","11000","埼玉県","45424",""
"2022年","11000","埼玉県","43451",""
"2023年","11000","埼玉県","42108",""
"2024年","11000","埼玉県","39956",""
"2025年","11000","埼玉県","38812","速報"
"1995年","12000","千葉県","54388",""
"1996年","12000","千葉県","55415",""
"1997年","12000","千葉県","54574",""
"1998年","12000","千葉県","54961",""
"1999年","12000","千葉県","54005",""
"2000年","12000","千葉県","55318",""
"2001年","12000","千葉県","54511",""
"2002年","12000","千葉県","54607",""
"2003年","12000","千葉県","52789",""
"2004年","12000","千葉県","52983",""
"2005年","12000","千葉県","50588",""
"2006年","12000","千葉県","51762",""
"2007年","12000","千葉県","51821",""
"2008年","12000","千葉県","52306",""
"2009年","12000","千葉県","51839",""
"2010年","12000","千葉県","51633",""
"2011年","12000","千葉県","50379",""
"2012年","12000","千葉県","48881",""
"2013年","12000","千葉県","48343",""
"2014年","12000","千葉県","46753",""
"2015年","12000","千葉県","47019",""
"2016年","12000","千葉県","45389",""
"2017年","12000","千葉県","44055",""
"2018年","12000","千葉県","43404",""
"2019年","12000","千葉県","40799",""
"2020年","12000","千葉県","40168",""
"2021年","12000","千葉県","38426",""
"2022年","12000","千葉県","36966",""
"2023年","12000","千葉県","35658",""
"2024年","12000","千葉県","33763",""
"2025年","12000","千葉県","32986","速報"
"1995年","13000","東京都","96823",""
"1996年","13000","東京都","97954",""
"1997年","13000","東京都","97906",""
"1998年","13000","東京都","98960",""
"1999年","13000","東京都","97959",""
"2000年","13000","東京都","100209",""
"2001年","13000","東京都","98421",""
"2002年","13000","東京都","100118",""
"2003年","13000","東京都","98534",""
"2004年","13000","東京都","99272",""
"2005年","13000","東京都","96542",""
"2006年","13000","東京都","101674",""
"2007年","13000","東京都","103837",""
"2008年","13000","東京都","106015",""
"2009年","13000","東京都","106613",""
"2010年","13000","東京都","108135",""
"2011年","13000","東京都","106027",""
"2012年","13000","東京都","107401",""
"2013年","13000","東京都","109986",""
"2014年","13000","東京都","110629",""
"2015年","13000","東京都","113194",""
"2016年","13000","東京都","111964",""
"2017年","13000","東京都","108990",""
"2018年","13000","東京都","107150",""
"2019年","13000","東京都","101818",""
"2020年","13000","東京都","99661",""
"2021年","13000","東京都","95404",""
"2022年","13000","東京都","91097",""
"2023年","13000","東京都","86348",""
"2024年","13000","東京都","84207",""
"2025年","13000","東京都","85064","速報"
"1995年","14000","神奈川県","80692",""
"1996年","14000","神奈川県","82092",""
"1997年","14000","神奈川県","81699",""
"1998年","14000","神奈川県","83104",""
"1999年","14000","神奈川県","81792",""
"2000年","14000","神奈川県","82906",""
"2001年","14000","神奈川県","81839",""
"2002年","14000","神奈川県","81498",""
"2003年","14000","神奈川県","80262",""
"2004年","14000","神奈川県","79441",""
"2005年","14000","神奈川県","76196",""
"2006年","14000","神奈川県","79118",""
"2007年","14000","神奈川県","79193",""
"2008年","14000","神奈川県","79179",""
"2009年","14000","神奈川県","78057",""
"2010年","14000","神奈川県","78077",""
"2011年","14000","神奈川県","76000",""
"2012年","14000","神奈川県","75477",""
"2013年","14000","神奈川県","74320",""
"2014年","14000","神奈川県","72997",""
"2015年","14000","神奈川県","73476",""
"2016年","14000","神奈川県","70649",""
"2017年","14000","神奈川県","68133",""
"2018年","14000","神奈川県","66564",""
"2019年","14000","神奈川県","63035",""
"2020年","14000","神奈川県","60865",""
"2021年","14000","神奈川県","58836",""
"2022年","14000","神奈川県","56498",""
"2023年","14000","神奈川県","53991",""
"2024年","14000","神奈川県","51423",""
"2025年","14000","神奈川県","50209","速報"
"1995年","15000","新潟県","22694",""
"1996年","15000","新潟県","22873",""
"1997年","15000","新潟県","22484",""
"1998年","15000","新潟県","22661",""
"1999年","15000","新潟県","21812",""
"2000年","15000","新潟県","21886",""
"2001年","15000","新潟県","21301",""
"2002年","15000","新潟県","20221",""
"2003年","15000","新潟県","19719",""
"2004年","15000","新潟県","19531",""
"2005年","15000","新潟県","18505",""
"2006年","15000","新潟県","18985",""
"2007年","15000","新潟県","18724",""
"2008年","15000","新潟県","18388",""
"2009年","15000","新潟県","17948",""
"2010年","15000","新潟県","18083",""
"2011年","15000","新潟県","17667",""
"2012年","15000","新潟県","17476",""
"2013年","15000","新潟県","17066",""
"2014年","15000","新潟県","16480",""
"2015年","15000","新潟県","16340",""
"2016年","15000","新潟県","15737",""
"2017年","15000","新潟県","14967",""
"2018年","15000","新潟県","14509",""
"2019年","15000","新潟県","13640",""
"2020年","15000","新潟県","12981",""
"2021年","15000","新潟県","12608",""
"2022年","15000","新潟県","11732",""
"2023年","15000","新潟県","10916",""
"2024年","15000","新潟県","9941",""
"2025年","15000","新潟県","9580","速報"
"1995年","16000","富山県","10049",""
"1996年","16000","富山県","10272",""
"1997年","16000","富山県","10139",""
"1998年","16000","富山県","10117",""
"1999年","16000","富山県","10139",""
"2000年","16000","富山県","10170",""
"2001年","16000","富山県","9994",""
"2002年","16000","富山県","9854",""
"2003年","16000","富山県","9362",""
"2004年","16000","富山県","9396",""
"2005年","16000","富山県","8973",""
"2006年","16000","富山県","8965",""
"2007年","16000","富山県","8728",""
"2008年","16000","富山県","8709",""
"2009年","16000","富山県","8426",""
"2010年","16000","富山県","8188",""
"2011年","16000","富山県","7823",""
"2012年","16000","富山県","7880",""
"2013年","16000","富山県","7722",""
"2014年","16000","富山県","7556",""
"2015年","16000","富山県","7567",""
"2016年","16000","富山県","7302",""
"2017年","16000","富山県","7178",""
"2018年","16000","富山県","6846",""
"2019年","16000","富山県","6604",""
"2020年","16000","富山県","6256",""
"2021年","16000","富山県","6076",""
"2022年","16000","富山県","6022",""
"2023年","16000","富山県","5512",""
"2024年","16000","富山県","5078",""
"2025年","16000","富山県","5125","速報"
"1995年","17000","石川県","11093",""
"1996年","17000","石川県","11484",""
"1997年","17000","石川県","11318",""
"1998年","17000","石川県","11642",""
"1999年","17000","石川県","11290",""
"2000年","17000","石川県","11467",""
"2001年","17000","石川県","11342",""
"2002年","17000","石川県","10886",""
"2003年","17000","石川県","10906",""
"2004年","17000","石川県","10528",""
"2005年","17000","石川県","10049",""
"2006年","17000","石川県","10235",""
"2007年","17000","石川県","10294",""
"2008年","17000","石川県","10199",""
"2009年","17000","石川県","9849",""
"2010年","17000","石川県","9602",""
"2011年","17000","石川県","9555",""
"2012年","17000","石川県","9544",""
"2013年","17000","石川県","9449",""
"2014年","17000","石川県","8961",""
"2015年","17000","石川県","9072",""
"2016年","17000","石川県","8928",""
"2017年","17000","石川県","8696",""
"2018年","17000","石川県","8359",""
"2019年","17000","石川県","7808",""
"2020年","17000","石川県","7712",""
"2021年","17000","石川県","7258",""
"2022年","17000","石川県","7075",""
"2023年","17000","石川県","6757",""
"2024年","17000","石川県","6078",""
"2025年","17000","石川県","6242","速報"
"1995年","18000","福井県","8244",""
"1996年","18000","福井県","8330",""
"1997年","18000","福井県","8132",""
"1998年","18000","福井県","8269",""
"1999年","18000","福井県","8053",""
"2000年","18000","福井県","8036",""
"2001年","18000","福井県","7958",""
"2002年","18000","福井県","7758",""
"2003年","18000","福井県","7446",""
"2004年","18000","福井県","7283",""
"2005年","18000","福井県","7148",""
"2006年","18000","福井県","7324",""
"2007年","18000","福井県","7191",""
"2008年","18000","福井県","7139",""
"2009年","18000","福井県","7042",""
"2010年","18000","福井県","6874",""
"2011年","18000","福井県","6728",""
"2012年","18000","福井県","6712",""
"2013年","18000","福井県","6461",""
"2014年","18000","福井県","6166",""
"2015年","18000","福井県","6230",""
"2016年","18000","福井県","6114",""
"2017年","18000","福井県","5856",""
"2018年","18000","福井県","5826",""
"2019年","18000","福井県","5307",""
"2020年","18000","福井県","5313",""
"2021年","18000","福井県","5223",""
"2022年","18000","福井県","4861",""
"2023年","18000","福井県","4563",""
"2024年","18000","福井県","4383",""
"2025年","18000","福井県","4314","速報"
"1995年","19000","山梨県","8833",""
"1996年","19000","山梨県","8949",""
"1997年","19000","山梨県","8754",""
"1998年","19000","山梨県","8578",""
"1999年","19000","山梨県","8318",""
"2000年","19000","山梨県","8374",""
"2001年","19000","山梨県","8126",""
"2002年","19000","山梨県","7919",""
"2003年","19000","山梨県","7720",""
"2004年","19000","山梨県","7527",""
"2005年","19000","山梨県","7149",""
"2006年","19000","山梨県","7094",""
"2007年","19000","山梨県","6988",""
"2008年","19000","山梨県","6908",""
"2009年","19000","山梨県","6621",""
"2010年","19000","山梨県","6651",""
"2011年","19000","山梨県","6412",""
"2012年","19000","山梨県","6336",""
"2013年","19000","山梨県","6198",""
"2014年","19000","山梨県","6063",""
"2015年","19000","山梨県","5988",""
"2016年","19000","山梨県","5819",""
"2017年","19000","山梨県","5705",""
"2018年","19000","山梨県","5556",""
"2019年","19000","山梨県","5193",""
"2020年","19000","山梨県","5184",""
"2021年","19000","山梨県","4966",""
"2022年","19000","山梨県","4759",""
"2023年","19000","山梨県","4397",""
"2024年","19000","山梨県","4153",""
"2025年","19000","山梨県","4015","速報"
"1995年","20000","長野県","21187",""
"1996年","20000","長野県","21286",""
"1997年","20000","長野県","21133",""
"1998年","20000","長野県","21436",""
"1999年","20000","長野県","20765",""
"2000年","20000","長野県","21194",""
"2001年","20000","長野県","20889",""
"2002年","20000","長野県","20324",""
"2003年","20000","長野県","19735",""
"2004年","20000","長野県","19323",""
"2005年","20000","長野県","18517",""
"2006年","20000","長野県","18775",""
"2007年","20000","長野県","18618",""
"2008年","20000","長野県","18129",""
"2009年","20000","長野県","17310",""
"2010年","20000","長野県","17233",""
"2011年","20000","長野県","16917",""
"2012年","20000","長野県","16661",""
"2013年","20000","長野県","16326",""
"2014年","20000","長野県","15848",""
"2015年","20000","長野県","15639",""
"2016年","20000","長野県","15171",""
"2017年","20000","長野県","14525",""
"2018年","20000","長野県","14184",""
"2019年","20000","長野県","13553",""
"2020年","20000","長野県","12864",""
"2021年","20000","長野県","12514",""
"2022年","20000","長野県","12143",""
"2023年","20000","長野県","11125",""
"2024年","20000","長野県","10513",""
"2025年","20000","長野県","9873","速報"
"1995年","21000","岐阜県","20187",""
"1996年","21000","岐阜県","20546",""
"1997年","21000","岐阜県","19930",""
"1998年","21000","岐阜県","20447",""
"1999年","21000","岐阜県","20151",""
"2000年","21000","岐阜県","20276",""
"2001年","21000","岐阜県","19603",""
"2002年","21000","岐阜県","19617",""
"2003年","21000","岐阜県","19156",""
"2004年","21000","岐阜県","18363",""
"2005年","21000","岐阜県","17706",""
"2006年","21000","岐阜県","18092",""
"2007年","21000","岐阜県","17696",""
"2008年","21000","岐阜県","17506",""
"2009年","21000","岐阜県","17327",""
"2010年","21000","岐阜県","16887",""
"2011年","21000","岐阜県","16851",""
"2012年","21000","岐阜県","16496",""
"2013年","21000","岐阜県","16000",""
"2014年","21000","岐阜県","15138",""
"2015年","21000","岐阜県","15467",""
"2016年","21000","岐阜県","14831",""
"2017年","21000","岐阜県","14040",""
"2018年","21000","岐阜県","13720",""
"2019年","21000","岐阜県","12776",""
"2020年","21000","岐阜県","12092",""
"2021年","21000","岐阜県","11730",""
"2022年","21000","岐阜県","11124",""
"2023年","21000","岐阜県","10469",""
"2024年","21000","岐阜県","9831",""
"2025年","21000","岐阜県","9351","速報"
"1995年","22000","静岡県","35345",""
"1996年","22000","静岡県","36081",""
"1997年","22000","静岡県","35606",""
"1998年","22000","静岡県","35921",""
"1999年","22000","静岡県","35395",""
"2000年","22000","静岡県","35794",""
"2001年","22000","静岡県","35193",""
"2002年","22000","静岡県","35212",""
"2003年","22000","静岡県","34061",""
"2004年","22000","静岡県","33628",""
"2005年","22000","静岡県","31908",""
"2006年","22000","静岡県","32905",""
"2007年","22000","静岡県","33274",""
"2008年","22000","静岡県","32701",""
"2009年","22000","静岡県","31901",""
"2010年","22000","静岡県","31896",""
"2011年","22000","静岡県","31172",""
"2012年","22000","静岡県","30810",""
"2013年","22000","静岡県","30260",""
"2014年","22000","静岡県","28684",""
"2015年","22000","静岡県","28352",""
"2016年","22000","静岡県","27654",""
"2017年","22000","静岡県","26261",""
"2018年","22000","静岡県","25192",""
"2019年","22000","静岡県","23457",""
"2020年","22000","静岡県","22497",""
"2021年","22000","静岡県","21571",""
"2022年","22000","静岡県","20575",""
"2023年","22000","静岡県","18969",""
"2024年","22000","静岡県","17439",""
"2025年","22000","静岡県","17092","速報"
"1995年","23000","愛知県","71899",""
"1996年","23000","愛知県","73377",""
"1997年","23000","愛知県","72992",""
"1998年","23000","愛知県","75206",""
"1999年","23000","愛知県","73738",""
"2000年","23000","愛知県","74736",""
"2001年","23000","愛知県","73057",""
"2002年","23000","愛知県","71823",""
"2003年","23000","愛知県","70236",""
"2004年","23000","愛知県","70417",""
"2005年","23000","愛知県","67110",""
"2006年","23000","愛知県","69999",""
"2007年","23000","愛知県","70218",""
"2008年","23000","愛知県","71029",""
"2009年","23000","愛知県","69768",""
"2010年","23000","愛知県","69872",""
"2011年","23000","愛知県","68973",""
"2012年","23000","愛知県","67913",""
"2013年","23000","愛知県","66825",""
"2014年","23000","愛知県","65219",""
"2015年","23000","愛知県","65615",""
"2016年","23000","愛知県","64231",""
"2017年","23000","愛知県","62436",""
"2018年","23000","愛知県","61230",""
"2019年","23000","愛知県","57145",""
"2020年","23000","愛知県","55613",""
"2021年","23000","愛知県","53918",""
"2022年","23000","愛知県","51152",""
"2023年","23000","愛知県","48402",""
"2024年","23000","愛知県","45514",""
"2025年","23000","愛知県","44290","速報"
"1995年","24000","三重県","17500",""
"1996年","24000","三重県","17780",""
"1997年","24000","三重県","17660",""
"1998年","24000","三重県","17829",""
"1999年","24000","三重県","17375",""
"2000年","24000","三重県","17726",""
"2001年","24000","三重県","17094",""
"2002年","24000","三重県","17190",""
"2003年","24000","三重県","16497",""
"2004年","24000","三重県","16287",""
"2005年","24000","三重県","15345",""
"2006年","24000","三重県","15816",""
"2007年","24000","三重県","15716",""
"2008年","24000","三重県","15633",""
"2009年","24000","三重県","15614",""
"2010年","24000","三重県","15262",""
"2011年","24000","三重県","15080",""
"2012年","24000","三重県","14729",""
"2013年","24000","三重県","14514",""
"2014年","24000","三重県","13727",""
"2015年","24000","三重県","13950",""
"2016年","24000","三重県","13376",""
"2017年","24000","三重県","12663",""
"2018年","24000","三重県","12582",""
"2019年","24000","三重県","11690",""
"2020年","24000","三重県","11141",""
"2021年","24000","三重県","10980",""
"2022年","24000","三重県","10489",""
"2023年","24000","三重県","9524",""
"2024年","24000","三重県","8896",""
"2025年","24000","三重県","8792","速報"
"1995年","25000","滋賀県","13320",""
"1996年","25000","滋賀県","13897",""
"1997年","25000","滋賀県","13708",""
"1998年","25000","滋賀県","14032",""
"1999年","25000","滋賀県","14040",""
"2000年","25000","滋賀県","14087",""
"2001年","25000","滋賀県","14015",""
"2002年","25000","滋賀県","13938",""
"2003年","25000","滋賀県","13624",""
"2004年","25000","滋賀県","13627",""
"2005年","25000","滋賀県","12899",""
"2006年","25000","滋賀県","13448",""
"2007年","25000","滋賀県","13343",""
"2008年","25000","滋賀県","13487",""
"2009年","25000","滋賀県","13151",""
"2010年","25000","滋賀県","13363",""
"2011年","25000","滋賀県","13338",""
"2012年","25000","滋賀県","13236",""
"2013年","25000","滋賀県","13015",""
"2014年","25000","滋賀県","12729",""
"2015年","25000","滋賀県","12622",""
"2016年","25000","滋賀県","12073",""
"2017年","25000","滋賀県","11600",""
"2018年","25000","滋賀県","11350",""
"2019年","25000","滋賀県","10627",""
"2020年","25000","滋賀県","10437",""
"2021年","25000","滋賀県","10130",""
"2022年","25000","滋賀県","9766",""
"2023年","25000","滋賀県","9249",""
"2024年","25000","滋賀県","8795",""
"2025年","25000","滋賀県","8708","速報"
"1995年","26000","京都府","23219",""
"1996年","26000","京都府","24023",""
"1997年","26000","京都府","23595",""
"1998年","26000","京都府","24312",""
"1999年","26000","京都府","23831",""
"2000年","26000","京都府","23997",""
"2001年","26000","京都府","23364",""
"2002年","26000","京都府","22859",""
"2003年","26000","京都府","22371",""
"2004年","26000","京都府","22066",""
"2005年","26000","京都府","21560",""
"2006年","26000","京都府","22100",""
"2007年","26000","京都府","21597",""
"2008年","26000","京都府","21842",""
"2009年","26000","京都府","21058",""
"2010年","26000","京都府","21234",""
"2011年","26000","京都府","20707",""
"2012年","26000","京都府","20111",""
"2013年","26000","京都府","20106",""
"2014年","26000","京都府","19583",""
"2015年","26000","京都府","19663",""
"2016年","26000","京都府","19327",""
"2017年","26000","京都府","18521",""
"2018年","26000","京都府","17909",""
"2019年","26000","京都府","16993",""
"2020年","26000","京都府","16440",""
"2021年","26000","京都府","15818",""
"2022年","26000","京都府","15068",""
"2023年","26000","京都府","13882",""
"2024年","26000","京都府","12938",""
"2025年","26000","京都府","12677","速報"
"1995年","27000","大阪府","86076",""
"1996年","27000","大阪府","89291",""
"1997年","27000","大阪府","89043",""
"1998年","27000","大阪府","90324",""
"1999年","27000","大阪府","88385",""
"2000年","27000","大阪府","88163",""
"2001年","27000","大阪府","86000",""
"2002年","27000","大阪府","83883",""
"2003年","27000","大阪府","81001",""
"2004年","27000","大阪府","79719",""
"2005年","27000","大阪府","76111",""
"2006年","27000","大阪府","77641",""
"2007年","27000","大阪府","76914",""
"2008年","27000","大阪府","77400",""
"2009年","27000","大阪府","75250",""
"2010年","27000","大阪府","75080",""
"2011年","27000","大阪府","73919",""
"2012年","27000","大阪府","73012",""
"2013年","27000","大阪府","72054",""
"2014年","27000","大阪府","69968",""
"2015年","27000","大阪府","70596",""
"2016年","27000","大阪府","68817",""
"2017年","27000","大阪府","66605",""
"2018年","27000","大阪府","65446",""
"2019年","27000","大阪府","62557",""
"2020年","27000","大阪府","61878",""
"2021年","27000","大阪府","59780",""
"2022年","27000","大阪府","57315",""
"2023年","27000","大阪府","55292",""
"2024年","27000","大阪府","53351",""
"2025年","27000","大阪府","52598","速報"
"1995年","28000","兵庫県","51947",""
"1996年","28000","兵庫県","53131",""
"1997年","28000","兵庫県","53356",""
"1998年","28000","兵庫県","54421",""
"1999年","28000","兵庫県","53765",""
"2000年","28000","兵庫県","54455",""
"2001年","28000","兵庫県","52585",""
"2002年","28000","兵庫県","52314",""
"2003年","28000","兵庫県","50520",""
"2004年","28000","兵庫県","49789",""
"2005年","28000","兵庫県","47273",""
"2006年","28000","兵庫県","48771",""
"2007年","28000","兵庫県","48685",""
"2008年","28000","兵庫県","48833",""
"2009年","28000","兵庫県","47592",""
"2010年","28000","兵庫県","47834",""
"2011年","28000","兵庫県","47351",""
"2012年","28000","兵庫県","46436",""
"2013年","28000","兵庫県","45673",""
"2014年","28000","兵庫県","44352",""
"2015年","28000","兵庫県","44016",""
"2016年","28000","兵庫県","43379",""
"2017年","28000","兵庫県","41606",""
"2018年","28000","兵庫県","39713",""
"2019年","28000","兵庫県","38043",""
"2020年","28000","兵庫県","36953",""
"2021年","28000","兵庫県","35581",""
"2022年","28000","兵庫県","33565",""
"2023年","28000","兵庫県","32615",""
"2024年","28000","兵庫県","30535",""
"2025年","28000","兵庫県","30110","速報"
"1995年","29000","奈良県","13337",""
"1996年","29000","奈良県","13663",""
"1997年","29000","奈良県","13444",""
"1998年","29000","奈良県","13779",""
"1999年","29000","奈良県","13158",""
"2000年","29000","奈良県","13270",""
"2001年","29000","奈良県","12768",""
"2002年","29000","奈良県","12472",""
"2003年","29000","奈良県","12137",""
"2004年","29000","奈良県","11749",""
"2005年","29000","奈良県","11184",""
"2006年","29000","奈良県","11476",""
"2007年","29000","奈良県","11261",""
"2008年","29000","奈良県","10981",""
"2009年","29000","奈良県","10758",""
"2010年","29000","奈良県","10694",""
"2011年","29000","奈良県","10400",""
"2012年","29000","奈良県","10565",""
"2013年","29000","奈良県","10190",""
"2014年","29000","奈良県","9625",""
"2015年","29000","奈良県","9832",""
"2016年","29000","奈良県","9430",""
"2017年","29000","奈良県","8965",""
"2018年","29000","奈良県","8947",""
"2019年","29000","奈良県","8323",""
"2020年","29000","奈良県","7831",""
"2021年","29000","奈良県","7751",""
"2022年","29000","奈良県","7315",""
"2023年","29000","奈良県","6943",""
"2024年","29000","奈良県","6697",""
"2025年","29000","奈良県","6409","速報"
"1995年","30000","和歌山県","9879",""
"1996年","30000","和歌山県","10131",""
"1997年","30000","和歌山県","9789",""
"1998年","30000","和歌山県","9886",""
"1999年","30000","和歌山県","9563",""
"2000年","30000","和歌山県","9566",""
"2001年","30000","和歌山県","9345",""
"2002年","30000","和歌山県","8943",""
"2003年","30000","和歌山県","8561",""
"2004年","30000","和歌山県","8153",""
"2005年","30000","和歌山県","7835",""
"2006年","30000","和歌山県","7930",""
"2007年","30000","和歌山県","7689",""
"2008年","30000","和歌山県","7866",""
"2009年","30000","和歌山県","7516",""
"2010年","30000","和歌山県","7587",""
"2011年","30000","和歌山県","7460",""
"2012年","30000","和歌山県","7424",""
"2013年","30000","和歌山県","7122",""
"2014年","30000","和歌山県","7140",""
"2015年","30000","和歌山県","7030",""
"2016年","30000","和歌山県","6659",""
"2017年","30000","和歌山県","6465",""
"2018年","30000","和歌山県","6070",""
"2019年","30000","和歌山県","5869",""
"2020年","30000","和歌山県","5732",""
"2021年","30000","和歌山県","5514",""
"2022年","30000","和歌山県","5238",""
"2023年","30000","和歌山県","4901",""
"2024年","30000","和歌山県","4457",""
"2025年","30000","和歌山県","4246","速報"
"1995年","31000","鳥取県","5723",""
"1996年","31000","鳥取県","5582",""
"1997年","31000","鳥取県","5603",""
"1998年","31000","鳥取県","5624",""
"1999年","31000","鳥取県","5352",""
"2000年","31000","鳥取県","5645",""
"2001年","31000","鳥取県","5595",""
"2002年","31000","鳥取県","5365",""
"2003年","31000","鳥取県","5473",""
"2004年","31000","鳥取県","5275",""
"2005年","31000","鳥取県","5012",""
"2006年","31000","鳥取県","5186",""
"2007年","31000","鳥取県","5015",""
"2008年","31000","鳥取県","4878",""
"2009年","31000","鳥取県","4876",""
"2010年","31000","鳥取県","4790",""
"2011年","31000","鳥取県","4931",""
"2012年","31000","鳥取県","4771",""
"2013年","31000","鳥取県","4759",""
"2014年","31000","鳥取県","4527",""
"2015年","31000","鳥取県","4624",""
"2016年","31000","鳥取県","4436",""
"2017年","31000","鳥取県","4310",""
"2018年","31000","鳥取県","4190",""
"2019年","31000","鳥取県","3988",""
"2020年","31000","鳥取県","3783",""
"2021年","31000","鳥取県","3708",""
"2022年","31000","鳥取県","3752",""
"2023年","31000","鳥取県","3263",""
"2024年","31000","鳥取県","3092",""
"2025年","31000","鳥取県","2973","速報"
"1995年","32000","島根県","6764",""
"1996年","32000","島根県","6828",""
"1997年","32000","島根県","6518",""
"1998年","32000","島根県","6491",""
"1999年","32000","島根県","6394",""
"2000年","32000","島根県","6522",""
"2001年","32000","島根県","6640",""
"2002年","32000","島根県","6318",""
"2003年","32000","島根県","6092",""
