"時点","地域コード","地域","有効求人倍率【倍】","注記","新規求人倍率【倍】","注記","労働力人口（国勢調査）【人】","注記","第１次産業就業者数【人】","注記","第２次産業就業者数【人】","注記","第３次産業就業者数【人】","注記"
"1972年6月","39000","高知県","0.10","","0.19","","","","","","","","",""
"1972年6月","40000","福岡県","0.32","","0.64","","","","","","","","",""
"1972年6月","41000","佐賀県","0.38","","0.50","","","","","","","","",""
"1972年6月","42000","長崎県","0.67","","1.05","","","","","","","","",""
"1972年6月","43000","熊本県","0.35","","0.60","","","","","","","","",""
"1972年6月","44000","大分県","0.35","","0.75","","","","","","","","",""
"1972年6月","45000","宮崎県","0.27","","0.55","","","","","","","","",""
"1972年6月","46000","鹿児島県","0.22","","0.37","","","","","","","","",""
"1972年6月","47000","沖縄県","0.17","","0.33","","","","","","","","",""
"1972年7月","01000","北海道","0.81","","0.76","","","","","","","","",""
"1972年7月","02000","青森県","0.24","","0.61","","","","","","","","",""
"1972年7月","03000","岩手県","0.88","","1.07","","","","","","","","",""
"1972年7月","04000","宮城県","0.65","","0.88","","","","","","","","",""
"1972年7月","05000","秋田県","0.15","","0.58","","","","","","","","",""
"1972年7月","06000","山形県","0.33","","0.59","","","","","","","","",""
"1972年7月","07000","福島県","0.77","","1.14","","","","","","","","",""
"1972年7月","08000","茨城県","1.36","","1.67","","","","","","","","",""
"1972年7月","09000","栃木県","1.60","","1.81","","","","","","","","",""
"1972年7月","10000","群馬県","1.64","","2.18","","","","","","","","",""
"1972年7月","11000","埼玉県","1.95","","1.99","","","","","","","","",""
"1972年7月","12000","千葉県","1.22","","1.79","","","","","","","","",""
"1972年7月","13000","東京都","1.48","","1.80","","","","","","","","",""
"1972年7月","14000","神奈川県","1.92","","2.17","","","","","","","","",""
"1972年7月","15000","新潟県","1.03","","1.00","","","","","","","","",""
"1972年7月","16000","富山県","1.29","","1.47","","","","","","","","",""
"1972年7月","17000","石川県","1.24","","1.96","","","","","","","","",""
"1972年7月","18000","福井県","1.36","","1.87","","","","","","","","",""
"1972年7月","19000","山梨県","2.15","","2.25","","","","","","","","",""
"1972年7月","20000","長野県","1.80","","1.91","","","","","","","","",""
"1972年7月","21000","岐阜県","3.12","","2.92","","","","","","","","",""
"1972年7月","22000","静岡県","2.04","","2.25","","","","","","","","",""
"1972年7月","23000","愛知県","3.42","","3.19","","","","","","","","",""
"1972年7月","24000","三重県","1.90","","2.44","","","","","","","","",""
"1972年7月","25000","滋賀県","1.52","","1.85","","","","","","","","",""
"1972年7月","26000","京都府","0.91","","1.88","","","","","","","","",""
"1972年7月","27000","大阪府","1.66","","2.00","","","","","","","","",""
"1972年7月","28000","兵庫県","0.91","","1.23","","","","","","","","",""
"1972年7月","29000","奈良県","1.43","","1.07","","","","","","","","",""
"1972年7月","30000","和歌山県","1.12","","1.40","","","","","","","","",""
"1972年7月","31000","鳥取県","0.82","","1.39","","","","","","","","",""
"1972年7月","32000","島根県","0.94","","0.92","","","","","","","","",""
"1972年7月","33000","岡山県","1.44","","1.72","","","","","","","","",""
"1972年7月","34000","広島県","1.48","","1.93","","","","","","","","",""
"1972年7月","35000","山口県","0.72","","1.20","","","","","","","","",""
"1972年7月","36000","徳島県","0.50","","0.78","","","","","","","","",""
"1972年7月","37000","香川県","1.54","","1.62","","","","","","","","",""
"1972年7月","38000","愛媛県","0.59","","0.98","","","","","","","","",""
"1972年7月","39000","高知県","0.11","","0.37","","","","","","","","",""
"1972年7月","40000","福岡県","0.31","","0.67","","","","","","","","",""
"1972年7月","41000","佐賀県","0.44","","0.72","","","","","","","","",""
"1972年7月","42000","長崎県","0.58","","1.22","","","","","","","","",""
"1972年7月","43000","熊本県","0.35","","0.67","","","","","","","","",""
"1972年7月","44000","大分県","0.37","","0.87","","","","","","","","",""
"1972年7月","45000","宮崎県","0.29","","0.73","","","","","","","","",""
"1972年7月","46000","鹿児島県","0.21","","0.51","","","","","","","","",""
"1972年7月","47000","沖縄県","0.13","","0.37","","","","","","","","",""
"1972年8月","01000","北海道","0.64","","1.16","","","","","","","","",""
"1972年8月","02000","青森県","0.24","","0.56","","","","","","","","",""
"1972年8月","03000","岩手県","0.88","","1.09","","","","","","","","",""
"1972年8月","04000","宮城県","0.72","","1.22","","","","","","","","",""
"1972年8月","05000","秋田県","0.16","","0.82","","","","","","","","",""
"1972年8月","06000","山形県","0.30","","0.70","","","","","","","","",""
"1972年8月","07000","福島県","0.88","","1.57","","","","","","","","",""
"1972年8月","08000","茨城県","1.67","","2.26","","","","","","","","",""
"1972年8月","09000","栃木県","1.86","","2.45","","","","","","","","",""
"1972年8月","10000","群馬県","1.80","","2.26","","","","","","","","",""
"1972年8月","11000","埼玉県","2.23","","2.93","","","","","","","","",""
"1972年8月","12000","千葉県","1.47","","2.14","","","","","","","","",""
"1972年8月","13000","東京都","1.67","","2.06","","","","","","","","",""
"1972年8月","14000","神奈川県","2.16","","2.93","","","","","","","","",""
"1972年8月","15000","新潟県","1.13","","1.44","","","","","","","","",""
"1972年8月","16000","富山県","1.61","","2.41","","","","","","","","",""
"1972年8月","17000","石川県","1.30","","2.20","","","","","","","","",""
"1972年8月","18000","福井県","1.46","","2.10","","","","","","","","",""
"1972年8月","19000","山梨県","2.18","","2.31","","","","","","","","",""
"1972年8月","20000","長野県","2.08","","2.64","","","","","","","","",""
"1972年8月","21000","岐阜県","4.00","","5.17","","","","","","","","",""
"1972年8月","22000","静岡県","2.63","","4.01","","","","","","","","",""
"1972年8月","23000","愛知県","4.29","","4.84","","","","","","","","",""
"1972年8月","24000","三重県","2.17","","3.04","","","","","","","","",""
"1972年8月","25000","滋賀県","1.96","","3.29","","","","","","","","",""
"1972年8月","26000","京都府","1.06","","2.05","","","","","","","","",""
"1972年8月","27000","大阪府","2.08","","2.96","","","","","","","","",""
"1972年8月","28000","兵庫県","1.07","","2.00","","","","","","","","",""
"1972年8月","29000","奈良県","1.64","","2.22","","","","","","","","",""
"1972年8月","30000","和歌山県","1.24","","2.26","","","","","","","","",""
"1972年8月","31000","鳥取県","0.94","","1.78","","","","","","","","",""
"1972年8月","32000","島根県","1.05","","1.45","","","","","","","","",""
"1972年8月","33000","岡山県","1.46","","1.80","","","","","","","","",""
"1972年8月","34000","広島県","1.61","","2.25","","","","","","","","",""
"1972年8月","35000","山口県","0.83","","1.47","","","","","","","","",""
"1972年8月","36000","徳島県","0.61","","1.32","","","","","","","","",""
"1972年8月","37000","香川県","1.60","","1.97","","","","","","","","",""
"1972年8月","38000","愛媛県","0.68","","1.20","","","","","","","","",""
"1972年8月","39000","高知県","0.12","","0.65","","","","","","","","",""
"1972年8月","40000","福岡県","0.38","","0.89","","","","","","","","",""
"1972年8月","41000","佐賀県","0.49","","0.82","","","","","","","","",""
"1972年8月","42000","長崎県","0.66","","1.35","","","","","","","","",""
"1972年8月","43000","熊本県","0.44","","0.87","","","","","","","","",""
"1972年8月","44000","大分県","0.48","","1.32","","","","","","","","",""
"1972年8月","45000","宮崎県","0.37","","1.11","","","","","","","","",""
"1972年8月","46000","鹿児島県","0.29","","1.02","","","","","","","","",""
"1972年8月","47000","沖縄県","0.16","","0.44","","","","","","","","",""
"1972年9月","01000","北海道","0.62","","1.15","","","","","","","","",""
"1972年9月","02000","青森県","0.31","","0.71","","","","","","","","",""
"1972年9月","03000","岩手県","0.87","","1.10","","","","","","","","",""
"1972年9月","04000","宮城県","0.91","","1.27","","","","","","","","",""
"1972年9月","05000","秋田県","0.16","","0.34","","","","","","","","",""
"1972年9月","06000","山形県","0.27","","0.77","","","","","","","","",""
"1972年9月","07000","福島県","0.97","","1.50","","","","","","","","",""
"1972年9月","08000","茨城県","1.93","","2.71","","","","","","","","",""
"1972年9月","09000","栃木県","2.17","","2.81","","","","","","","","",""
"1972年9月","10000","群馬県","2.01","","2.55","","","","","","","","",""
"1972年9月","11000","埼玉県","2.52","","2.89","","","","","","","","",""
"1972年9月","12000","千葉県","1.79","","2.47","","","","","","","","",""
"1972年9月","13000","東京都","1.98","","2.32","","","","","","","","",""
"1972年9月","14000","神奈川県","2.54","","3.00","","","","","","","","",""
"1972年9月","15000","新潟県","1.29","","1.39","","","","","","","","",""
"1972年9月","16000","富山県","1.86","","2.50","","","","","","","","",""
"1972年9月","17000","石川県","1.58","","2.38","","","","","","","","",""
"1972年9月","18000","福井県","1.60","","2.53","","","","","","","","",""
"1972年9月","19000","山梨県","2.34","","2.52","","","","","","","","",""
"1972年9月","20000","長野県","2.32","","2.77","","","","","","","","",""
"1972年9月","21000","岐阜県","4.20","","4.17","","","","","","","","",""
"1972年9月","22000","静岡県","3.20","","3.38","","","","","","","","",""
"1972年9月","23000","愛知県","5.05","","5.24","","","","","","","","",""
"1972年9月","24000","三重県","2.52","","3.23","","","","","","","","",""
"1972年9月","25000","滋賀県","2.25","","2.89","","","","","","","","",""
"1972年9月","26000","京都府","1.26","","2.55","","","","","","","","",""
"1972年9月","27000","大阪府","2.35","","2.16","","","","","","","","",""
"1972年9月","28000","兵庫県","1.22","","2.04","","","","","","","","",""
"1972年9月","29000","奈良県","1.77","","2.28","","","","","","","","",""
"1972年9月","30000","和歌山県","1.50","","2.34","","","","","","","","",""
"1972年9月","31000","鳥取県","1.10","","1.72","","","","","","","","",""
"1972年9月","32000","島根県","1.13","","1.41","","","","","","","","",""
"1972年9月","33000","岡山県","1.67","","2.24","","","","","","","","",""
"1972年9月","34000","広島県","1.96","","2.83","","","","","","","","",""
"1972年9月","35000","山口県","1.02","","1.52","","","","","","","","",""
"1972年9月","36000","徳島県","0.71","","1.36","","","","","","","","",""
"1972年9月","37000","香川県","1.78","","2.12","","","","","","","","",""
"1972年9月","38000","愛媛県","0.78","","1.63","","","","","","","","",""
"1972年9月","39000","高知県","0.15","","0.58","","","","","","","","",""
"1972年9月","40000","福岡県","0.43","","0.89","","","","","","","","",""
"1972年9月","41000","佐賀県","0.53","","0.87","","","","","","","","",""
"1972年9月","42000","長崎県","0.68","","1.13","","","","","","","","",""
"1972年9月","43000","熊本県","0.52","","0.92","","","","","","","","",""
"1972年9月","44000","大分県","0.50","","1.04","","","","","","","","",""
"1972年9月","45000","宮崎県","0.36","","0.96","","","","","","","","",""
"1972年9月","46000","鹿児島県","0.35","","0.77","","","","","","","","",""
"1972年9月","47000","沖縄県","0.21","","0.48","","","","","","","","",""
"1972年10月","01000","北海道","0.59","","0.67","","","","","","","","",""
"1972年10月","02000","青森県","0.35","","0.46","","","","","","","","",""
"1972年10月","03000","岩手県","0.85","","1.02","","","","","","","","",""
"1972年10月","04000","宮城県","1.05","","1.43","","","","","","","","",""
"1972年10月","05000","秋田県","0.22","","0.39","","","","","","","","",""
"1972年10月","06000","山形県","0.28","","0.71","","","","","","","","",""
"1972年10月","07000","福島県","1.06","","1.22","","","","","","","","",""
"1972年10月","08000","茨城県","2.23","","2.50","","","","","","","","",""
"1972年10月","09000","栃木県","2.26","","2.92","","","","","","","","",""
"1972年10月","10000","群馬県","2.20","","2.65","","","","","","","","",""
"1972年10月","11000","埼玉県","2.64","","2.90","","","","","","","","",""
"1972年10月","12000","千葉県","1.87","","2.48","","","","","","","","",""
"1972年10月","13000","東京都","2.18","","2.52","","","","","","","","",""
"1972年10月","14000","神奈川県","2.78","","3.35","","","","","","","","",""
"1972年10月","15000","新潟県","1.10","","0.65","","","","","","","","",""
"1972年10月","16000","富山県","2.14","","2.37","","","","","","","","",""
"1972年10月","17000","石川県","1.61","","1.92","","","","","","","","",""
"1972年10月","18000","福井県","1.76","","2.27","","","","","","","","",""
"1972年10月","19000","山梨県","2.39","","2.29","","","","","","","","",""
"1972年10月","20000","長野県","2.74","","3.06","","","","","","","","",""
"1972年10月","21000","岐阜県","5.01","","4.72","","","","","","","","",""
"1972年10月","22000","静岡県","3.34","","3.94","","","","","","","","",""
"1972年10月","23000","愛知県","5.79","","5.03","","","","","","","","",""
"1972年10月","24000","三重県","2.64","","3.22","","","","","","","","",""
"1972年10月","25000","滋賀県","2.54","","3.16","","","","","","","","",""
"1972年10月","26000","京都府","1.32","","2.05","","","","","","","","",""
"1972年10月","27000","大阪府","2.69","","2.89","","","","","","","","",""
"1972年10月","28000","兵庫県","1.42","","2.15","","","","","","","","",""
"1972年10月","29000","奈良県","1.93","","2.68","","","","","","","","",""
"1972年10月","30000","和歌山県","1.54","","1.71","","","","","","","","",""
"1972年10月","31000","鳥取県","1.06","","1.28","","","","","","","","",""
"1972年10月","32000","島根県","1.28","","1.58","","","","","","","","",""
"1972年10月","33000","岡山県","1.90","","2.61","","","","","","","","",""
"1972年10月","34000","広島県","2.11","","2.83","","","","","","","","",""
"1972年10月","35000","山口県","1.12","","1.64","","","","","","","","",""
"1972年10月","36000","徳島県","0.77","","1.49","","","","","","","","",""
"1972年10月","37000","香川県","2.22","","2.41","","","","","","","","",""
"1972年10月","38000","愛媛県","0.99","","1.86","","","","","","","","",""
"1972年10月","39000","高知県","0.20","","0.97","","","","","","","","",""
"1972年10月","40000","福岡県","0.47","","1.02","","","","","","","","",""
"1972年10月","41000","佐賀県","0.63","","0.89","","","","","","","","",""
"1972年10月","42000","長崎県","0.76","","1.48","","","","","","","","",""
"1972年10月","43000","熊本県","0.62","","1.17","","","","","","","","",""
"1972年10月","44000","大分県","0.65","","1.75","","","","","","","","",""
"1972年10月","45000","宮崎県","0.44","","1.18","","","","","","","","",""
"1972年10月","46000","鹿児島県","0.39","","0.85","","","","","","","","",""
"1972年10月","47000","沖縄県","0.26","","0.52","","","","","","","","",""
"1972年11月","01000","北海道","0.52","","0.56","","","","","","","","",""
"1972年11月","02000","青森県","0.30","","0.23","","","","","","","","",""
"1972年11月","03000","岩手県","0.78","","0.74","","","","","","","","",""
"1972年11月","04000","宮城県","1.09","","1.13","","","","","","","","",""
"1972年11月","05000","秋田県","0.24","","0.13","","","","","","","","",""
"1972年11月","06000","山形県","0.29","","0.38","","","","","","","","",""
"1972年11月","07000","福島県","1.08","","1.10","","","","","","","","",""
"1972年11月","08000","茨城県","2.44","","2.32","","","","","","","","",""
"1972年11月","09000","栃木県","2.57","","3.08","","","","","","","","",""
"1972年11月","10000","群馬県","2.10","","2.67","","","","","","","","",""
"1972年11月","11000","埼玉県","2.66","","2.59","","","","","","","","",""
"1972年11月","12000","千葉県","2.03","","2.49","","","","","","","","",""
"1972年11月","13000","東京都","2.12","","1.98","","","","","","","","",""
"1972年11月","14000","神奈川県","2.75","","2.45","","","","","","","","",""
"1972年11月","15000","新潟県","1.08","","0.73","","","","","","","","",""
"1972年11月","16000","富山県","2.30","","2.37","","","","","","","","",""
"1972年11月","17000","石川県","1.91","","1.92","","","","","","","","",""
"1972年11月","18000","福井県","1.91","","2.25","","","","","","","","",""
"1972年11月","19000","山梨県","2.56","","2.45","","","","","","","","",""
"1972年11月","20000","長野県","2.84","","2.31","","","","","","","","",""
"1972年11月","21000","岐阜県","5.38","","4.75","","","","","","","","",""
"1972年11月","22000","静岡県","3.46","","2.66","","","","","","","","",""
"1972年11月","23000","愛知県","6.30","","5.58","","","","","","","","",""
"1972年11月","24000","三重県","2.37","","3.19","","","","","","","","",""
"1972年11月","25000","滋賀県","2.41","","2.88","","","","","","","","",""
"1972年11月","26000","京都府","1.30","","2.21","","","","","","","","",""
"1972年11月","27000","大阪府","2.59","","2.94","","","","","","","","",""
"1972年11月","28000","兵庫県","1.64","","2.36","","","","","","","","",""
"1972年11月","29000","奈良県","1.95","","2.33","","","","","","","","",""
"1972年11月","30000","和歌山県","1.63","","2.29","","","","","","","","",""
"1972年11月","31000","鳥取県","1.15","","1.71","","","","","","","","",""
"1972年11月","32000","島根県","1.47","","1.53","","","","","","","","",""
"1972年11月","33000","岡山県","2.01","","2.41","","","","","","","","",""
"1972年11月","34000","広島県","2.26","","3.11","","","","","","","","",""
"1972年11月","35000","山口県","1.15","","1.62","","","","","","","","",""
"1972年11月","36000","徳島県","0.92","","1.50","","","","","","","","",""
"1972年11月","37000","香川県","2.24","","2.43","","","","","","","","",""
"1972年11月","38000","愛媛県","1.10","","1.42","","","","","","","","",""
"1972年11月","39000","高知県","0.23","","0.89","","","","","","","","",""
"1972年11月","40000","福岡県","0.49","","1.06","","","","","","","","",""
"1972年11月","41000","佐賀県","0.69","","0.96","","","","","","","","",""
"1972年11月","42000","長崎県","0.78","","1.45","","","","","","","","",""
"1972年11月","43000","熊本県","0.66","","1.19","","","","","","","","",""
"1972年11月","44000","大分県","0.64","","1.36","","","","","","","","",""
"1972年11月","45000","宮崎県","0.42","","1.07","","","","","","","","",""
"1972年11月","46000","鹿児島県","0.41","","0.77","","","","","","","","",""
"1972年11月","47000","沖縄県","0.21","","0.46","","","","","","","","",""
"1972年12月","01000","北海道","0.17","","0.08","","","","","","","","",""
"1972年12月","02000","青森県","0.09","","0.03","","","","","","","","",""
"1972年12月","03000","岩手県","0.70","","0.43","","","","","","","","",""
"1972年12月","04000","宮城県","0.85","","0.61","","","","","","","","",""
"1972年12月","05000","秋田県","0.26","","0.13","","","","","","","","",""
"1972年12月","06000","山形県","0.34","","0.15","","","","","","","","",""
"1972年12月","07000","福島県","0.79","","0.53","","","","","","","","",""
"1972年12月","08000","茨城県","2.55","","2.01","","","","","","","","",""
"1972年12月","09000","栃木県","2.46","","2.94","","","","","","","","",""
"1972年12月","10000","群馬県","2.09","","2.39","","","","","","","","",""
"1972年12月","11000","埼玉県","2.73","","3.35","","","","","","","","",""
"1972年12月","12000","千葉県","1.92","","2.52","","","","","","","","",""
"1972年12月","13000","東京都","2.20","","2.47","","","","","","","","",""
"1972年12月","14000","神奈川県","2.84","","3.08","","","","","","","","",""
"1972年12月","15000","新潟県","0.87","","0.37","","","","","","","","",""
"1972年12月","16000","富山県","1.36","","0.62","","","","","","","","",""
"1972年12月","17000","石川県","1.11","","0.50","","","","","","","","",""
"1972年12月","18000","福井県","0.64","","0.25","","","","","","","","",""
"1972年12月","19000","山梨県","2.30","","1.56","","","","","","","","",""
"1972年12月","20000","長野県","1.95","","0.95","","","","","","","","",""
"1972年12月","21000","岐阜県","3.88","","2.02","","","","","","","","",""
"1972年12月","22000","静岡県","3.40","","2.80","","","","","","","","",""
"1972年12月","23000","愛知県","6.68","","5.25","","","","","","","","",""
"1972年12月","24000","三重県","2.42","","3.73","","","","","","","","",""
"1972年12月","25000","滋賀県","2.54","","3.14","","","","","","","","",""
"1972年12月","26000","京都府","1.34","","2.14","","","","","","","","",""
"1972年12月","27000","大阪府","2.84","","3.43","","","","","","","","",""
"1972年12月","28000","兵庫県","1.68","","2.47","","","","","","","","",""
"1972年12月","29000","奈良県","1.70","","1.81","","","","","","","","",""
"1972年12月","30000","和歌山県","1.52","","2.44","","","","","","","","",""
"1972年12月","31000","鳥取県","1.25","","1.81","","","","","","","","",""
"1972年12月","32000","島根県","1.77","","1.29","","","","","","","","",""
"1972年12月","33000","岡山県","2.20","","2.63","","","","","","","","",""
"1972年12月","34000","広島県","2.20","","2.90","","","","","","","","",""
"1972年12月","35000","山口県","1.22","","1.75","","","","","","","","",""
"1972年12月","36000","徳島県","0.96","","1.64","","","","","","","","",""
"1972年12月","37000","香川県","2.46","","2.98","","","","","","","","",""
"1972年12月","38000","愛媛県","1.18","","1.27","","","","","","","","",""
"1972年12月","39000","高知県","0.21","","0.57","","","","","","","","",""
"1972年12月","40000","福岡県","0.48","","1.05","","","","","","","","",""
"1972年12月","41000","佐賀県","0.68","","1.02","","","","","","","","",""
"1972年12月","42000","長崎県","0.82","","1.62","","","","","","","","",""
"1972年12月","43000","熊本県","0.66","","0.96","","","","","","","","",""
"1972年12月","44000","大分県","0.47","","1.25","","","","","","","","",""
"1972年12月","45000","宮崎県","0.40","","1.20","","","","","","","","",""
"1972年12月","46000","鹿児島県","0.43","","0.82","","","","","","","","",""
"1972年12月","47000","沖縄県","0.18","","0.83","","","","","","","","",""
"1973年1月","01000","北海道","0.36","","0.96","","","","","","","","",""
"1973年1月","02000","青森県","0.08","","0.10","","","","","","","","",""
"1973年1月","03000","岩手県","0.51","","0.39","","","","","","","","",""
"1973年1月","04000","宮城県","0.89","","1.16","","","","","","","","",""
"1973年1月","05000","秋田県","0.22","","0.19","","","","","","","","",""
"1973年1月","06000","山形県","0.30","","0.46","","","","","","","","",""
"1973年1月","07000","福島県","0.78","","1.08","","","","","","","","",""
"1973年1月","08000","茨城県","2.94","","3.15","","","","","","","","",""
"1973年1月","09000","栃木県","2.56","","3.06","","","","","","","","",""
"1973年1月","10000","群馬県","2.29","","2.86","","","","","","","","",""
"1973年1月","11000","埼玉県","2.86","","3.26","","","","","","","","",""
"1973年1月","12000","千葉県","2.03","","2.59","","","","","","","","",""
"1973年1月","13000","東京都","2.29","","2.83","","","","","","","","",""
"1973年1月","14000","神奈川県","2.86","","3.12","","","","","","","","",""
"1973年1月","15000","新潟県","0.84","","0.95","","","","","","","","",""
"1973年1月","16000","富山県","1.40","","1.85","","","","","","","","",""
"1973年1月","17000","石川県","1.33","","2.38","","","","","","","","",""
"1973年1月","18000","福井県","0.62","","1.35","","","","","","","","",""
"1973年1月","19000","山梨県","2.44","","2.81","","","","","","","","",""
"1973年1月","20000","長野県","1.85","","2.03","","","","","","","","",""
"1973年1月","21000","岐阜県","3.52","","4.12","","","","","","","","",""
"1973年1月","22000","静岡県","3.30","","3.32","","","","","","","","",""
"1973年1月","23000","愛知県","6.12","","5.37","","","","","","","","",""
"1973年1月","24000","三重県","2.64","","2.92","","","","","","","","",""
"1973年1月","25000","滋賀県","2.55","","2.99","","","","","","","","",""
"1973年1月","26000","京都府","1.45","","2.57","","","","","","","","",""
"1973年1月","27000","大阪府","2.90","","3.38","","","","","","","","",""
"1973年1月","28000","兵庫県","1.76","","2.52","","","","","","","","",""
"1973年1月","29000","奈良県","1.85","","2.76","","","","","","","","",""
"1973年1月","30000","和歌山県","1.48","","1.90","","","","","","","","",""
"1973年1月","31000","鳥取県","1.34","","1.54","","","","","","","","",""
"1973年1月","32000","島根県","1.65","","1.41","","","","","","","","",""
"1973年1月","33000","岡山県","2.24","","2.62","","","","","","","","",""
"1973年1月","34000","広島県","2.33","","2.71","","","","","","","","",""
"1973年1月","35000","山口県","1.34","","1.95","","","","","","","","",""
"1973年1月","36000","徳島県","1.16","","1.44","","","","","","","","",""
"1973年1月","37000","香川県","2.38","","2.56","","","","","","","","",""
"1973年1月","38000","愛媛県","1.01","","1.27","","","","","","","","",""
"1973年1月","39000","高知県","0.27","","0.83","","","","","","","","",""
"1973年1月","40000","福岡県","0.61","","1.20","","","","","","","","",""
"1973年1月","41000","佐賀県","0.71","","1.01","","","","","","","","",""
"1973年1月","42000","長崎県","0.90","","1.50","","","","","","","","",""
"1973年1月","43000","熊本県","0.70","","0.92","","","","","","","","",""
"1973年1月","44000","大分県","0.65","","1.26","","","","","","","","",""
"1973年1月","45000","宮崎県","0.52","","1.02","","","","","","","","",""
"1973年1月","46000","鹿児島県","0.46","","0.71","","","","","","","","",""
"1973年1月","47000","沖縄県","0.19","","0.54","","","","","","","","",""
"1973年2月","01000","北海道","0.67","","5.29","","","","","","","","",""
"1973年2月","02000","青森県","0.09","","0.36","","","","","","","","",""
"1973年2月","03000","岩手県","0.59","","1.25","","","","","","","","",""
"1973年2月","04000","宮城県","1.00","","1.32","","","","","","","","",""
"1973年2月","05000","秋田県","0.22","","0.69","","","","","","","","",""
"1973年2月","06000","山形県","0.36","","1.21","","","","","","","","",""
"1973年2月","07000","福島県","0.88","","1.57","","","","","","","","",""
"1973年2月","08000","茨城県","2.85","","2.33","","","","","","","","",""
"1973年2月","09000","栃木県","2.59","","2.89","","","","","","","","",""
"1973年2月","10000","群馬県","2.31","","2.48","","","","","","","","",""
"1973年2月","11000","埼玉県","2.68","","2.44","","","","","","","","",""
"1973年2月","12000","千葉県","2.32","","2.75","","","","","","","","",""
"1973年2月","13000","東京都","2.48","","2.51","","","","","","","","",""
"1973年2月","14000","神奈川県","3.28","","3.83","","","","","","","","",""
"1973年2月","15000","新潟県","1.13","","2.48","","","","","","","","",""
"1973年2月","16000","富山県","1.80","","3.46","","","","","","","","",""
"1973年2月","17000","石川県","1.64","","3.31","","","","","","","","",""
"1973年2月","18000","福井県","0.87","","4.57","","","","","","","","",""
"1973年2月","19000","山梨県","2.67","","3.16","","","","","","","","",""
"1973年2月","20000","長野県","1.93","","2.76","","","","","","","","",""
"1973年2月","21000","岐阜県","3.79","","4.52","","","","","","","","",""
"1973年2月","22000","静岡県","3.38","","2.91","","","","","","","","",""
"1973年2月","23000","愛知県","6.14","","4.97","","","","","","","","",""
"1973年2月","24000","三重県","2.75","","3.28","","","","","","","","",""
"1973年2月","25000","滋賀県","2.46","","2.67","","","","","","","","",""
"1973年2月","26000","京都府","1.60","","2.46","","","","","","","","",""
"1973年2月","27000","大阪府","3.12","","3.14","","","","","","","","",""
"1973年2月","28000","兵庫県","1.86","","2.18","","","","","","","","",""
"1973年2月","29000","奈良県","1.69","","2.09","","","","","","","","",""
"1973年2月","30000","和歌山県","1.50","","1.85","","","","","","","","",""
"1973年2月","31000","鳥取県","1.28","","1.89","","","","","","","","",""
"1973年2月","32000","島根県","1.72","","1.60","","","","","","","","",""
"1973年2月","33000","岡山県","2.38","","2.46","","","","","","","","",""
"1973年2月","34000","広島県","2.40","","2.94","","","","","","","","",""
"1973年2月","35000","山口県","1.37","","1.46","","","","","","","","",""
"1973年2月","36000","徳島県","1.18","","1.29","","","","","","","","",""
"1973年2月","37000","香川県","2.43","","2.19","","","","","","","","",""
"1973年2月","38000","愛媛県","1.07","","1.31","","","","","","","","",""
"1973年2月","39000","高知県","0.30","","0.68","","","","","","","","",""
"1973年2月","40000","福岡県","0.61","","1.09","","","","","","","","",""
"1973年2月","41000","佐賀県","0.70","","0.88","","","","","","","","",""
"1973年2月","42000","長崎県","0.93","","1.34","","","","","","","","",""
"1973年2月","43000","熊本県","0.74","","1.03","","","","","","","","",""
"1973年2月","44000","大分県","0.67","","1.13","","","","","","","","",""
"1973年2月","45000","宮崎県","0.50","","0.96","","","","","","","","",""
"1973年2月","46000","鹿児島県","0.51","","0.85","","","","","","","","",""
"1973年2月","47000","沖縄県","0.20","","0.55","","","","","","","","",""
"1973年3月","01000","北海道","0.86","","4.17","","","","","","","","",""
"1973年3月","02000","青森県","0.21","","1.58","","","","","","","","",""
"1973年3月","03000","岩手県","0.80","","2.08","","","","","","","","",""
"1973年3月","04000","宮城県","1.17","","1.44","","","","","","","","",""
"1973年3月","05000","秋田県","0.37","","1.95","","","","","","","","",""
"1973年3月","06000","山形県","0.56","","2.13","","","","","","","","",""
"1973年3月","07000","福島県","1.08","","2.13","","","","","","","","",""
"1973年3月","08000","茨城県","3.13","","2.69","","","","","","","","",""
"1973年3月","09000","栃木県","2.49","","2.75","","","","","","","","",""
"1973年3月","10000","群馬県","2.41","","2.65","","","","","","","","",""
"1973年3月","11000","埼玉県","2.76","","2.66","","","","","","","","",""
"1973年3月","12000","千葉県","2.30","","2.49","","","","","","","","",""
"1973年3月","13000","東京都","2.54","","2.30","","","","","","","","",""
"1973年3月","14000","神奈川県","3.10","","2.68","","","","","","","","",""
"1973年3月","15000","新潟県","1.52","","3.11","","","","","","","","",""
"1973年3月","16000","富山県","2.20","","3.69","","","","","","","","",""
"1973年3月","17000","石川県","2.03","","3.63","","","","","","","","",""
"1973年3月","18000","福井県","1.05","","4.59","","","","","","","","",""
"1973年3月","19000","山梨県","2.85","","2.67","","","","","","","","",""
"1973年3月","20000","長野県","2.39","","4.05","","","","","","","","",""
"1973年3月","21000","岐阜県","4.10","","4.33","","","","","","","","",""
"1973年3月","22000","静岡県","2.82","","2.95","","","","","","","","",""
"1973年3月","23000","愛知県","6.58","","4.70","","","","","","","","",""
"1973年3月","24000","三重県","2.84","","3.12","","","","","","","","",""
