"時点","地域コード","地域","死亡数【人】","注記"
"2008年","17000","石川県","11012",""
"2009年","17000","石川県","11246",""
"2010年","17000","石川県","11607",""
"2011年","17000","石川県","11962",""
"2012年","17000","石川県","12223",""
"2013年","17000","石川県","12223",""
"2014年","17000","石川県","12190",""
"2015年","17000","石川県","12280",""
"2016年","17000","石川県","12422",""
"2017年","17000","石川県","12727",""
"2018年","17000","石川県","12723",""
"2019年","17000","石川県","12900",""
"2020年","17000","石川県","12721",""
"2021年","17000","石川県","13214",""
"2022年","17000","石川県","14316",""
"2023年","17000","石川県","14746",""
"2024年","17000","石川県","15034",""
"2025年","17000","石川県","14351","速報"
"1975年","18000","福井県","5887",""
"1976年","18000","福井県","5846",""
"1977年","18000","福井県","5727",""
"1978年","18000","福井県","5676",""
"1979年","18000","福井県","5479",""
"1980年","18000","福井県","5892",""
"1981年","18000","福井県","5740",""
"1982年","18000","福井県","5682",""
"1983年","18000","福井県","5730",""
"1984年","18000","福井県","5753",""
"1985年","18000","福井県","6003",""
"1986年","18000","福井県","5714",""
"1987年","18000","福井県","5747",""
"1988年","18000","福井県","6094",""
"1989年","18000","福井県","6168",""
"1990年","18000","福井県","6220",""
"1991年","18000","福井県","6281",""
"1992年","18000","福井県","6343",""
"1993年","18000","福井県","6589",""
"1994年","18000","福井県","6521",""
"1995年","18000","福井県","6782",""
"1996年","18000","福井県","6617",""
"1997年","18000","福井県","6949",""
"1998年","18000","福井県","6750",""
"1999年","18000","福井県","7014",""
"2000年","18000","福井県","6931",""
"2001年","18000","福井県","6850",""
"2002年","18000","福井県","6977",""
"2003年","18000","福井県","7243",""
"2004年","18000","福井県","7449",""
"2005年","18000","福井県","7772",""
"2006年","18000","福井県","7725",""
"2007年","18000","福井県","7886",""
"2008年","18000","福井県","8088",""
"2009年","18000","福井県","8187",""
"2010年","18000","福井県","8417",""
"2011年","18000","福井県","8757",""
"2012年","18000","福井県","8795",""
"2013年","18000","福井県","8764",""
"2014年","18000","福井県","8817",""
"2015年","18000","福井県","8971",""
"2016年","18000","福井県","9228",""
"2017年","18000","福井県","9347",""
"2018年","18000","福井県","9221",""
"2019年","18000","福井県","9593",""
"2020年","18000","福井県","9286",""
"2021年","18000","福井県","9721",""
"2022年","18000","福井県","10519",""
"2023年","18000","福井県","10426",""
"2024年","18000","福井県","10510",""
"2025年","18000","福井県","10447","速報"
"1975年","19000","山梨県","6003",""
"1976年","19000","山梨県","5961",""
"1977年","19000","山梨県","5862",""
"1978年","19000","山梨県","5786",""
"1979年","19000","山梨県","5802",""
"1980年","19000","山梨県","6143",""
"1981年","19000","山梨県","6126",""
"1982年","19000","山梨県","5959",""
"1983年","19000","山梨県","6341",""
"1984年","19000","山梨県","5980",""
"1985年","19000","山梨県","6213",""
"1986年","19000","山梨県","6012",""
"1987年","19000","山梨県","5951",""
"1988年","19000","山梨県","6473",""
"1989年","19000","山梨県","6330",""
"1990年","19000","山梨県","6606",""
"1991年","19000","山梨県","6477",""
"1992年","19000","山梨県","6663",""
"1993年","19000","山梨県","7001",""
"1994年","19000","山梨県","6877",""
"1995年","19000","山梨県","7168",""
"1996年","19000","山梨県","7014",""
"1997年","19000","山梨県","7005",""
"1998年","19000","山梨県","7311",""
"1999年","19000","山梨県","7581",""
"2000年","19000","山梨県","7297",""
"2001年","19000","山梨県","7528",""
"2002年","19000","山梨県","7458",""
"2003年","19000","山梨県","7687",""
"2004年","19000","山梨県","7842",""
"2005年","19000","山梨県","8291",""
"2006年","19000","山梨県","8380",""
"2007年","19000","山梨県","8347",""
"2008年","19000","山梨県","8736",""
"2009年","19000","山梨県","8586",""
"2010年","19000","山梨県","9268",""
"2011年","19000","山梨県","9358",""
"2012年","19000","山梨県","9555",""
"2013年","19000","山梨県","9441",""
"2014年","19000","山梨県","9755",""
"2015年","19000","山梨県","9637",""
"2016年","19000","山梨県","9565",""
"2017年","19000","山梨県","9678",""
"2018年","19000","山梨県","9916",""
"2019年","19000","山梨県","10083",""
"2020年","19000","山梨県","9796",""
"2021年","19000","山梨県","10107",""
"2022年","19000","山梨県","11090",""
"2023年","19000","山梨県","11267",""
"2024年","19000","山梨県","11206",""
"2025年","19000","山梨県","10961","速報"
"1975年","20000","長野県","15685",""
"1976年","20000","長野県","15453",""
"1977年","20000","長野県","15545",""
"1978年","20000","長野県","15315",""
"1979年","20000","長野県","14890",""
"1980年","20000","長野県","15703",""
"1981年","20000","長野県","15206",""
"1982年","20000","長野県","14947",""
"1983年","20000","長野県","15419",""
"1984年","20000","長野県","15840",""
"1985年","20000","長野県","15975",""
"1986年","20000","長野県","15536",""
"1987年","20000","長野県","15631",""
"1988年","20000","長野県","16571",""
"1989年","20000","長野県","16124",""
"1990年","20000","長野県","16646",""
"1991年","20000","長野県","16823",""
"1992年","20000","長野県","17790",""
"1993年","20000","長野県","17576",""
"1994年","20000","長野県","18199",""
"1995年","20000","長野県","18052",""
"1996年","20000","長野県","18323",""
"1997年","20000","長野県","18542",""
"1998年","20000","長野県","18668",""
"1999年","20000","長野県","19471",""
"2000年","20000","長野県","19320",""
"2001年","20000","長野県","19356",""
"2002年","20000","長野県","19603",""
"2003年","20000","長野県","19822",""
"2004年","20000","長野県","20501",""
"2005年","20000","長野県","21369",""
"2006年","20000","長野県","21117",""
"2007年","20000","長野県","21910",""
"2008年","20000","長野県","22692",""
"2009年","20000","長野県","22130",""
"2010年","20000","長野県","23133",""
"2011年","20000","長野県","23887",""
"2012年","20000","長野県","24474",""
"2013年","20000","長野県","24304",""
"2014年","20000","長野県","24752",""
"2015年","20000","長野県","24536",""
"2016年","20000","長野県","25114",""
"2017年","20000","長野県","25674",""
"2018年","20000","長野県","25422",""
"2019年","20000","長野県","26041",""
"2020年","20000","長野県","25428",""
"2021年","20000","長野県","26001",""
"2022年","20000","長野県","28503",""
"2023年","20000","長野県","28423",""
"2024年","20000","長野県","28908",""
"2025年","20000","長野県","28549","速報"
"1975年","21000","岐阜県","12908",""
"1976年","21000","岐阜県","12603",""
"1977年","21000","岐阜県","12258",""
"1978年","21000","岐阜県","12356",""
"1979年","21000","岐阜県","12087",""
"1980年","21000","岐阜県","13011",""
"1981年","21000","岐阜県","12684",""
"1982年","21000","岐阜県","12497",""
"1983年","21000","岐阜県","12783",""
"1984年","21000","岐阜県","12910",""
"1985年","21000","岐阜県","13240",""
"1986年","21000","岐阜県","12948",""
"1987年","21000","岐阜県","12997",""
"1988年","21000","岐阜県","13857",""
"1989年","21000","岐阜県","13624",""
"1990年","21000","岐阜県","14055",""
"1991年","21000","岐阜県","14308",""
"1992年","21000","岐阜県","14641",""
"1993年","21000","岐阜県","14835",""
"1994年","21000","岐阜県","15253",""
"1995年","21000","岐阜県","15811",""
"1996年","21000","岐阜県","15326",""
"1997年","21000","岐阜県","15697",""
"1998年","21000","岐阜県","15943",""
"1999年","21000","岐阜県","16880",""
"2000年","21000","岐阜県","16577",""
"2001年","21000","岐阜県","16522",""
"2002年","21000","岐阜県","16905",""
"2003年","21000","岐阜県","17118",""
"2004年","21000","岐阜県","17705",""
"2005年","21000","岐阜県","18511",""
"2006年","21000","岐阜県","18638",""
"2007年","21000","岐阜県","18910",""
"2008年","21000","岐阜県","19478",""
"2009年","21000","岐阜県","19402",""
"2010年","21000","岐阜県","20220",""
"2011年","21000","岐阜県","21054",""
"2012年","21000","岐阜県","21531",""
"2013年","21000","岐阜県","21518",""
"2014年","21000","岐阜県","21658",""
"2015年","21000","岐阜県","21999",""
"2016年","21000","岐阜県","22474",""
"2017年","21000","岐阜県","22968",""
"2018年","21000","岐阜県","23062",""
"2019年","21000","岐阜県","23417",""
"2020年","21000","岐阜県","22720",""
"2021年","21000","岐阜県","24126",""
"2022年","21000","岐阜県","26175",""
"2023年","21000","岐阜県","26089",""
"2024年","21000","岐阜県","26392",""
"2025年","21000","岐阜県","26022","速報"
"1975年","22000","静岡県","19788",""
"1976年","22000","静岡県","20034",""
"1977年","22000","静岡県","19833",""
"1978年","22000","静岡県","19913",""
"1979年","22000","静岡県","19518",""
"1980年","22000","静岡県","20550",""
"1981年","22000","静岡県","20534",""
"1982年","22000","静岡県","20481",""
"1983年","22000","静岡県","21251",""
"1984年","22000","静岡県","21036",""
"1985年","22000","静岡県","21415",""
"1986年","22000","静岡県","21138",""
"1987年","22000","静岡県","21488",""
"1988年","22000","静岡県","22745",""
"1989年","22000","静岡県","22769",""
"1990年","22000","静岡県","23543",""
"1991年","22000","静岡県","23850",""
"1992年","22000","静岡県","24619",""
"1993年","22000","静岡県","25088",""
"1994年","22000","静岡県","25503",""
"1995年","22000","静岡県","26666",""
"1996年","22000","静岡県","26089",""
"1997年","22000","静岡県","26343",""
"1998年","22000","静岡県","27178",""
"1999年","22000","静岡県","28753",""
"2000年","22000","静岡県","28323",""
"2001年","22000","静岡県","28914",""
"2002年","22000","静岡県","28894",""
"2003年","22000","静岡県","29813",""
"2004年","22000","静岡県","29809",""
"2005年","22000","静岡県","31747",""
"2006年","22000","静岡県","32001",""
"2007年","22000","静岡県","32507",""
"2008年","22000","静岡県","34511",""
"2009年","22000","静岡県","34209",""
"2010年","22000","静岡県","36420",""
"2011年","22000","静岡県","37303",""
"2012年","22000","静岡県","38194",""
"2013年","22000","静岡県","38393",""
"2014年","22000","静岡県","38342",""
"2015年","22000","静岡県","39518",""
"2016年","22000","静岡県","39297",""
"2017年","22000","静岡県","41078",""
"2018年","22000","静岡県","41972",""
"2019年","22000","静岡県","42190",""
"2020年","22000","静岡県","42191",""
"2021年","22000","静岡県","43194",""
"2022年","22000","静岡県","47334",""
"2023年","22000","静岡県","47926",""
"2024年","22000","静岡県","49100",""
"2025年","22000","静岡県","49032","速報"
"1975年","23000","愛知県","30993",""
"1976年","23000","愛知県","30914",""
"1977年","23000","愛知県","30750",""
"1978年","23000","愛知県","30975",""
"1979年","23000","愛知県","30567",""
"1980年","23000","愛知県","31734",""
"1981年","23000","愛知県","31694",""
"1982年","23000","愛知県","31652",""
"1983年","23000","愛知県","32685",""
"1984年","23000","愛知県","32754",""
"1985年","23000","愛知県","33357",""
"1986年","23000","愛知県","33625",""
"1987年","23000","愛知県","34385",""
"1988年","23000","愛知県","36177",""
"1989年","23000","愛知県","36550",""
"1990年","23000","愛知県","37435",""
"1991年","23000","愛知県","38326",""
"1992年","23000","愛知県","39683",""
"1993年","23000","愛知県","40595",""
"1994年","23000","愛知県","41111",""
"1995年","23000","愛知県","42944",""
"1996年","23000","愛知県","42231",""
"1997年","23000","愛知県","42787",""
"1998年","23000","愛知県","44163",""
"1999年","23000","愛知県","45878",""
"2000年","23000","愛知県","45810",""
"2001年","23000","愛知県","46477",""
"2002年","23000","愛知県","47155",""
"2003年","23000","愛知県","48476",""
"2004年","23000","愛知県","49457",""
"2005年","23000","愛知県","52536",""
"2006年","23000","愛知県","52294",""
"2007年","23000","愛知県","53618",""
"2008年","23000","愛知県","56036",""
"2009年","23000","愛知県","55189",""
"2010年","23000","愛知県","58477",""
"2011年","23000","愛知県","59720",""
"2012年","23000","愛知県","61354",""
"2013年","23000","愛知県","62395",""
"2014年","23000","愛知県","62426",""
"2015年","23000","愛知県","64061",""
"2016年","23000","愛知県","65227",""
"2017年","23000","愛知県","67177",""
"2018年","23000","愛知県","68833",""
"2019年","23000","愛知県","69932",""
"2020年","23000","愛知県","70518",""
"2021年","23000","愛知県","73769",""
"2022年","23000","愛知県","81183",""
"2023年","23000","愛知県","80557",""
"2024年","23000","愛知県","82618",""
"2025年","23000","愛知県","82826","速報"
"1975年","24000","三重県","12240",""
"1976年","24000","三重県","12256",""
"1977年","24000","三重県","11701",""
"1978年","24000","三重県","11751",""
"1979年","24000","三重県","11472",""
"1980年","24000","三重県","12154",""
"1981年","24000","三重県","12027",""
"1982年","24000","三重県","11947",""
"1983年","24000","三重県","12375",""
"1984年","24000","三重県","12778",""
"1985年","24000","三重県","12724",""
"1986年","24000","三重県","12339",""
"1987年","24000","三重県","12524",""
"1988年","24000","三重県","13349",""
"1989年","24000","三重県","13029",""
"1990年","24000","三重県","13630",""
"1991年","24000","三重県","13518",""
"1992年","24000","三重県","13888",""
"1993年","24000","三重県","14211",""
"1994年","24000","三重県","14401",""
"1995年","24000","三重県","15072",""
"1996年","24000","三重県","14659",""
"1997年","24000","三重県","14526",""
"1998年","24000","三重県","15069",""
"1999年","24000","三重県","15232",""
"2000年","24000","三重県","15292",""
"2001年","24000","三重県","15052",""
"2002年","24000","三重県","15307",""
"2003年","24000","三重県","15872",""
"2004年","24000","三重県","16030",""
"2005年","24000","三重県","17154",""
"2006年","24000","三重県","17156",""
"2007年","24000","三重県","17141",""
"2008年","24000","三重県","17904",""
"2009年","24000","三重県","17590",""
"2010年","24000","三重県","18691",""
"2011年","24000","三重県","19271",""
"2012年","24000","三重県","19210",""
"2013年","24000","三重県","19690",""
"2014年","24000","三重県","19525",""
"2015年","24000","三重県","20139",""
"2016年","24000","三重県","20098",""
"2017年","24000","三重県","20531",""
"2018年","24000","三重県","20900",""
"2019年","24000","三重県","20811",""
"2020年","24000","三重県","20716",""
"2021年","24000","三重県","21639",""
"2022年","24000","三重県","23341",""
"2023年","24000","三重県","23744",""
"2024年","24000","三重県","24004",""
"2025年","24000","三重県","23829","速報"
"1975年","25000","滋賀県","7307",""
"1976年","25000","滋賀県","7368",""
"1977年","25000","滋賀県","7082",""
"1978年","25000","滋賀県","7022",""
"1979年","25000","滋賀県","7178",""
"1980年","25000","滋賀県","7276",""
"1981年","25000","滋賀県","7252",""
"1982年","25000","滋賀県","6982",""
"1983年","25000","滋賀県","7276",""
"1984年","25000","滋賀県","7300",""
"1985年","25000","滋賀県","7255",""
"1986年","25000","滋賀県","7469",""
"1987年","25000","滋賀県","7283",""
"1988年","25000","滋賀県","7601",""
"1989年","25000","滋賀県","7778",""
"1990年","25000","滋賀県","7961",""
"1991年","25000","滋賀県","8355",""
"1992年","25000","滋賀県","8296",""
"1993年","25000","滋賀県","8681",""
"1994年","25000","滋賀県","8612",""
"1995年","25000","滋賀県","8958",""
"1996年","25000","滋賀県","8646",""
"1997年","25000","滋賀県","8789",""
"1998年","25000","滋賀県","8952",""
"1999年","25000","滋賀県","9423",""
"2000年","25000","滋賀県","9232",""
"2001年","25000","滋賀県","9390",""
"2002年","25000","滋賀県","9286",""
"2003年","25000","滋賀県","9801",""
"2004年","25000","滋賀県","9658",""
"2005年","25000","滋賀県","10419",""
"2006年","25000","滋賀県","10507",""
"2007年","25000","滋賀県","10649",""
"2008年","25000","滋賀県","11110",""
"2009年","25000","滋賀県","11036",""
"2010年","25000","滋賀県","11602",""
"2011年","25000","滋賀県","11884",""
"2012年","25000","滋賀県","12221",""
"2013年","25000","滋賀県","12233",""
"2014年","25000","滋賀県","12266",""
"2015年","25000","滋賀県","12507",""
"2016年","25000","滋賀県","12507",""
"2017年","25000","滋賀県","13083",""
"2018年","25000","滋賀県","13246",""
"2019年","25000","滋賀県","13221",""
"2020年","25000","滋賀県","13039",""
"2021年","25000","滋賀県","13674",""
"2022年","25000","滋賀県","15043",""
"2023年","25000","滋賀県","14955",""
"2024年","25000","滋賀県","15523",""
"2025年","25000","滋賀県","15505","速報"
"1975年","26000","京都府","15460",""
"1976年","26000","京都府","15544",""
"1977年","26000","京都府","15260",""
"1978年","26000","京都府","15464",""
"1979年","26000","京都府","15553",""
"1980年","26000","京都府","16059",""
"1981年","26000","京都府","16174",""
"1982年","26000","京都府","16059",""
"1983年","26000","京都府","16214",""
"1984年","26000","京都府","16637",""
"1985年","26000","京都府","16942",""
"1986年","26000","京都府","16864",""
"1987年","26000","京都府","16912",""
"1988年","26000","京都府","17608",""
"1989年","26000","京都府","17327",""
"1990年","26000","京都府","18031",""
"1991年","26000","京都府","18331",""
"1992年","26000","京都府","18822",""
"1993年","26000","京都府","19202",""
"1994年","26000","京都府","18821",""
"1995年","26000","京都府","19321",""
"1996年","26000","京都府","19068",""
"1997年","26000","京都府","19239",""
"1998年","26000","京都府","19868",""
"1999年","26000","京都府","20690",""
"2000年","26000","京都府","20233",""
"2001年","26000","京都府","20028",""
"2002年","26000","京都府","20320",""
"2003年","26000","京都府","20669",""
"2004年","26000","京都府","21129",""
"2005年","26000","京都府","22134",""
"2006年","26000","京都府","22419",""
"2007年","26000","京都府","22619",""
"2008年","26000","京都府","23015",""
"2009年","26000","京都府","23191",""
"2010年","26000","京都府","23714",""
"2011年","26000","京都府","24733",""
"2012年","26000","京都府","25416",""
"2013年","26000","京都府","25332",""
"2014年","26000","京都府","25507",""
"2015年","26000","京都府","25495",""
"2016年","26000","京都府","25830",""
"2017年","26000","京都府","26431",""
"2018年","26000","京都府","26654",""
"2019年","26000","京都府","27028",""
"2020年","26000","京都府","26860",""
"2021年","26000","京都府","28316",""
"2022年","26000","京都府","31491",""
"2023年","26000","京都府","30735",""
"2024年","26000","京都府","31281",""
"2025年","26000","京都府","31077","速報"
"1975年","27000","大阪府","41299",""
"1976年","27000","大阪府","42075",""
"1977年","27000","大阪府","41459",""
"1978年","27000","大阪府","41737",""
"1979年","27000","大阪府","42157",""
"1980年","27000","大阪府","44272",""
"1981年","27000","大阪府","44380",""
"1982年","27000","大阪府","44578",""
"1983年","27000","大阪府","46301",""
"1984年","27000","大阪府","46916",""
"1985年","27000","大阪府","48152",""
"1986年","27000","大阪府","48266",""
"1987年","27000","大阪府","48488",""
"1988年","27000","大阪府","50704",""
"1989年","27000","大阪府","50812",""
"1990年","27000","大阪府","52844",""
"1991年","27000","大阪府","53110",""
"1992年","27000","大阪府","54914",""
"1993年","27000","大阪府","56442",""
"1994年","27000","大阪府","55741",""
"1995年","27000","大阪府","58255",""
"1996年","27000","大阪府","57187",""
"1997年","27000","大阪府","57864",""
"1998年","27000","大阪府","59647",""
"1999年","27000","大阪府","61724",""
"2000年","27000","大阪府","61315",""
"2001年","27000","大阪府","61708",""
"2002年","27000","大阪府","62099",""
"2003年","27000","大阪府","64405",""
"2004年","27000","大阪府","65160",""
"2005年","27000","大阪府","68648",""
"2006年","27000","大阪府","69007",""
"2007年","27000","大阪府","70283",""
"2008年","27000","大阪府","72930",""
"2009年","27000","大阪府","73135",""
"2010年","27000","大阪府","76556",""
"2011年","27000","大阪府","78952",""
"2012年","27000","大阪府","80472",""
"2013年","27000","大阪府","81864",""
"2014年","27000","大阪府","81653",""
"2015年","27000","大阪府","83577",""
"2016年","27000","大阪府","84391",""
"2017年","27000","大阪府","87086",""
"2018年","27000","大阪府","89494",""
"2019年","27000","大阪府","90410",""
"2020年","27000","大阪府","91644",""
"2021年","27000","大阪府","97282",""
"2022年","27000","大阪府","106277",""
"2023年","27000","大阪府","104964",""
"2024年","27000","大阪府","108534",""
"2025年","27000","大阪府","108172","速報"
"1975年","28000","兵庫県","30466",""
"1976年","28000","兵庫県","30712",""
"1977年","28000","兵庫県","30191",""
"1978年","28000","兵庫県","30512",""
"1979年","28000","兵庫県","30667",""
"1980年","28000","兵庫県","32275",""
"1981年","28000","兵庫県","32453",""
"1982年","28000","兵庫県","31794",""
"1983年","28000","兵庫県","33079",""
"1984年","28000","兵庫県","33559",""
"1985年","28000","兵庫県","33952",""
"1986年","28000","兵庫県","34288",""
"1987年","28000","兵庫県","33699",""
"1988年","28000","兵庫県","35838",""
"1989年","28000","兵庫県","36075",""
"1990年","28000","兵庫県","36787",""
"1991年","28000","兵庫県","37767",""
"1992年","28000","兵庫県","38502",""
"1993年","28000","兵庫県","39675",""
"1994年","28000","兵庫県","39484",""
"1995年","28000","兵庫県","47044",""
"1996年","28000","兵庫県","39112",""
"1997年","28000","兵庫県","39797",""
"1998年","28000","兵庫県","40931",""
"1999年","28000","兵庫県","41965",""
"2000年","28000","兵庫県","41724",""
"2001年","28000","兵庫県","42123",""
"2002年","28000","兵庫県","42031",""
"2003年","28000","兵庫県","43850",""
"2004年","28000","兵庫県","44494",""
"2005年","28000","兵庫県","46657",""
"2006年","28000","兵庫県","46476",""
"2007年","28000","兵庫県","47877",""
"2008年","28000","兵庫県","49074",""
"2009年","28000","兵庫県","48864",""
"2010年","28000","兵庫県","51568",""
"2011年","28000","兵庫県","52259",""
"2012年","28000","兵庫県","53657",""
"2013年","28000","兵庫県","54366",""
"2014年","28000","兵庫県","54147",""
"2015年","28000","兵庫県","55391",""
"2016年","28000","兵庫県","55422",""
"2017年","28000","兵庫県","56584",""
"2018年","28000","兵庫県","57452",""
"2019年","28000","兵庫県","57938",""
"2020年","28000","兵庫県","58654",""
"2021年","28000","兵庫県","61980",""
"2022年","28000","兵庫県","66541",""
"2023年","28000","兵庫県","66171",""
"2024年","28000","兵庫県","67956",""
"2025年","28000","兵庫県","67397","速報"
"1975年","29000","奈良県","7055",""
"1976年","29000","奈良県","7290",""
"1977年","29000","奈良県","6979",""
"1978年","29000","奈良県","7006",""
"1979年","29000","奈良県","7323",""
"1980年","29000","奈良県","7623",""
"1981年","29000","奈良県","7709",""
"1982年","29000","奈良県","7590",""
"1983年","29000","奈良県","7939",""
"1984年","29000","奈良県","8073",""
"1985年","29000","奈良県","8295",""
"1986年","29000","奈良県","8284",""
"1987年","29000","奈良県","8262",""
"1988年","29000","奈良県","8649",""
"1989年","29000","奈良県","8510",""
"1990年","29000","奈良県","8958",""
"1991年","29000","奈良県","9239",""
"1992年","29000","奈良県","9325",""
"1993年","29000","奈良県","9738",""
"1994年","29000","奈良県","9637",""
"1995年","29000","奈良県","10106",""
"1996年","29000","奈良県","9769",""
"1997年","29000","奈良県","9982",""
"1998年","29000","奈良県","10345",""
"1999年","29000","奈良県","10569",""
"2000年","29000","奈良県","10362",""
"2001年","29000","奈良県","10432",""
"2002年","29000","奈良県","10588",""
"2003年","29000","奈良県","10795",""
"2004年","29000","奈良県","11124",""
"2005年","29000","奈良県","11880",""
"2006年","29000","奈良県","11684",""
"2007年","29000","奈良県","11902",""
"2008年","29000","奈良県","12368",""
"2009年","29000","奈良県","12139",""
"2010年","29000","奈良県","13036",""
"2011年","29000","奈良県","13267",""
"2012年","29000","奈良県","13656",""
"2013年","29000","奈良県","14029",""
"2014年","29000","奈良県","13835",""
"2015年","29000","奈良県","13920",""
"2016年","29000","奈良県","14054",""
"2017年","29000","奈良県","14486",""
"2018年","29000","奈良県","14674",""
"2019年","29000","奈良県","14660",""
"2020年","29000","奈良県","14678",""
"2021年","29000","奈良県","15573",""
"2022年","29000","奈良県","17166",""
"2023年","29000","奈良県","16972",""
"2024年","29000","奈良県","17379",""
"2025年","29000","奈良県","17602","速報"
"1975年","30000","和歌山県","8423",""
"1976年","30000","和歌山県","8481",""
"1977年","30000","和歌山県","8316",""
"1978年","30000","和歌山県","8100",""
"1979年","30000","和歌山県","8466",""
"1980年","30000","和歌山県","8721",""
"1981年","30000","和歌山県","8588",""
"1982年","30000","和歌山県","8490",""
"1983年","30000","和歌山県","8792",""
"1984年","30000","和歌山県","8647",""
"1985年","30000","和歌山県","8921",""
"1986年","30000","和歌山県","9036",""
"1987年","30000","和歌山県","8981",""
"1988年","30000","和歌山県","9201",""
"1989年","30000","和歌山県","8913",""
"1990年","30000","和歌山県","9281",""
"1991年","30000","和歌山県","9387",""
"1992年","30000","和歌山県","9641",""
"1993年","30000","和歌山県","9741",""
"1994年","30000","和歌山県","9653",""
"1995年","30000","和歌山県","10064",""
"1996年","30000","和歌山県","9747",""
"1997年","30000","和歌山県","9770",""
"1998年","30000","和歌山県","10037",""
"1999年","30000","和歌山県","10185",""
"2000年","30000","和歌山県","10225",""
"2001年","30000","和歌山県","10297",""
"2002年","30000","和歌山県","10167",""
"2003年","30000","和歌山県","10404",""
"2004年","30000","和歌山県","10600",""
"2005年","30000","和歌山県","11251",""
"2006年","30000","和歌山県","11031",""
"2007年","30000","和歌山県","11256",""
"2008年","30000","和歌山県","11679",""
"2009年","30000","和歌山県","11736",""
"2010年","30000","和歌山県","12049",""
"2011年","30000","和歌山県","12310",""
"2012年","30000","和歌山県","12435",""
"2013年","30000","和歌山県","12773",""
"2014年","30000","和歌山県","12609",""
"2015年","30000","和歌山県","12549",""
"2016年","30000","和歌山県","12620",""
"2017年","30000","和歌山県","12772",""
"2018年","30000","和歌山県","13062",""
"2019年","30000","和歌山県","12837",""
"2020年","30000","和歌山県","12610",""
"2021年","30000","和歌山県","12930",""
"2022年","30000","和歌山県","14308",""
"2023年","30000","和歌山県","14535",""
"2024年","30000","和歌山県","14586",""
"2025年","30000","和歌山県","14191","速報"
"1975年","31000","鳥取県","4901",""
"1976年","31000","鳥取県","4871",""
"1977年","31000","鳥取県","4807",""
"1978年","31000","鳥取県","4856",""
"1979年","31000","鳥取県","4674",""
"1980年","31000","鳥取県","4970",""
"1981年","31000","鳥取県","4810",""
"1982年","31000","鳥取県","4740",""
"1983年","31000","鳥取県","4991",""
"1984年","31000","鳥取県","5043",""
"1985年","31000","鳥取県","4851",""
"1986年","31000","鳥取県","4980",""
"1987年","31000","鳥取県","4810",""
"1988年","31000","鳥取県","5181",""
"1989年","31000","鳥取県","4950",""
"1990年","31000","鳥取県","5224",""
"1991年","31000","鳥取県","5394",""
"1992年","31000","鳥取県","5383",""
"1993年","31000","鳥取県","5521",""
"1994年","31000","鳥取県","5518",""
"1995年","31000","鳥取県","5789",""
"1996年","31000","鳥取県","5382",""
"1997年","31000","鳥取県","5672",""
"1998年","31000","鳥取県","5585",""
"1999年","31000","鳥取県","5851",""
"2000年","31000","鳥取県","5935",""
"2001年","31000","鳥取県","5822",""
"2002年","31000","鳥取県","5870",""
"2003年","31000","鳥取県","6075",""
"2004年","31000","鳥取県","6166",""
"2005年","31000","鳥取県","6303",""
"2006年","31000","鳥取県","6328",""
"2007年","31000","鳥取県","6601",""
"2008年","31000","鳥取県","6682",""
"2009年","31000","鳥取県","6636",""
"2010年","31000","鳥取県","6947",""
"2011年","31000","鳥取県","6958",""
"2012年","31000","鳥取県","7074",""
"2013年","31000","鳥取県","7270",""
"2014年","31000","鳥取県","7076",""
"2015年","31000","鳥取県","7271",""
"2016年","31000","鳥取県","7357",""
"2017年","31000","鳥取県","7536",""
"2018年","31000","鳥取県","7309",""
"2019年","31000","鳥取県","7605",""
"2020年","31000","鳥取県","7096",""
"2021年","31000","鳥取県","7605",""
"2022年","31000","鳥取県","8031",""
"2023年","31000","鳥取県","8290",""
"2024年","31000","鳥取県","8032",""
"2025年","31000","鳥取県","8092","速報"
"1975年","32000","島根県","7197",""
"1976年","32000","島根県","7179",""
"1977年","32000","島根県","6978",""
"1978年","32000","島根県","6820",""
"1979年","32000","島根県","6747",""
"1980年","32000","島根県","7105",""
"1981年","32000","島根県","6745",""
"1982年","32000","島根県","6671",""
"1983年","32000","島根県","7040",""
"1984年","32000","島根県","6663",""
"1985年","32000","島根県","6633",""
"1986年","32000","島根県","6696",""
"1987年","32000","島根県","6553",""
"1988年","32000","島根県","6862",""
"1989年","32000","島根県","6907",""
"1990年","32000","島根県","7078",""
"1991年","32000","島根県","7045",""
"1992年","32000","島根県","7280",""
"1993年","32000","島根県","7280",""
"1994年","32000","島根県","7337",""
"1995年","32000","島根県","7687",""
"1996年","32000","島根県","7501",""
"1997年","32000","島根県","7554",""
"1998年","32000","島根県","7384",""
"1999年","32000","島根県","8204",""
"2000年","32000","島根県","7700",""
"2001年","32000","島根県","7666",""
"2002年","32000","島根県","7837",""
"2003年","32000","島根県","8050",""
"2004年","32000","島根県","8212",""
"2005年","32000","島根県","8557",""
"2006年","32000","島根県","8453",""
"2007年","32000","島根県","8660",""
"2008年","32000","島根県","9011",""
"2009年","32000","島根県","8854",""
"2010年","32000","島根県","9109",""
"2011年","32000","島根県","9412",""
"2012年","32000","島根県","9513",""
"2013年","32000","島根県","9572",""
"2014年","32000","島根県","9369",""
"2015年","32000","島根県","9604",""
"2016年","32000","島根県","9562",""
"2017年","32000","島根県","9694",""
